article,url,dates,rows,columns,cells,numeric_ratio,popularity,f1_score
1997–98 Manchester United F.C. season,https://en.wikipedia.org/wiki/1997%E2%80%9398_Manchester_United_F.C._season,"{'Date From': '%d %B %Y', 'Date To': '%d %B %Y'}",16,5,80,0.0,4098,0.1411764705882353
1997 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1997_NCAA_Division_I_women%27s_basketball_tournament,{},32,3,96,0.3333333333333333,562,0.7301587301587302
1997 Nike Tour,https://en.wikipedia.org/wiki/1997_Nike_Tour,{'Date': '%b %d'},29,5,145,0.2,59,0.6847457627118644
1997 PGA Tour,https://en.wikipedia.org/wiki/1997_PGA_Tour,{},10,3,30,0.6666666666666666,757,0.5333333333333333
1998 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/1998_NCAA_Division_I_women%27s_basketball_tournament,{},35,3,105,0.3333333333333333,806,0.6666666666666667
1998 Nike Tour,https://en.wikipedia.org/wiki/1998_Nike_Tour,{'Date': '%b %d'},30,5,150,0.2,61,0.7533333333333333
1999–2000 NCAA football bowl games,https://en.wikipedia.org/wiki/1999%E2%80%932000_NCAA_football_bowl_games,{},15,4,60,0.25,189,0.4625
1999 Canadian Tour,https://en.wikipedia.org/wiki/1999_Canadian_Tour,{'Date': '%b %d'},14,5,70,0.2,20,0.41481481481481486
1999 Nike Tour,https://en.wikipedia.org/wiki/1999_Nike_Tour,{'Date': '%b %d'},30,5,150,0.2,300,0.6779661016949153
2000 Buy.com Tour,https://en.wikipedia.org/wiki/2000_Buy.com_Tour,{'Date': '%b %d'},31,6,186,0.3333333333333333,56,0.6994535519125684
2000 Canadian Tour,https://en.wikipedia.org/wiki/2000_Canadian_Tour,{'Date': '%b %d'},13,6,78,0.16666666666666666,23,0.32142857142857145
2001 PGA Tour,https://en.wikipedia.org/wiki/2001_PGA_Tour,{'Date': '%b %d'},8,5,40,0.2,778,0.07407407407407408
2002–03 snooker season,https://en.wikipedia.org/wiki/2002%E2%80%9303_snooker_season,{},16,4,64,0.75,322,0.08482142857142856
2002 PGA Tour,https://en.wikipedia.org/wiki/2002_PGA_Tour,{},10,3,30,0.6666666666666666,717,0.4666666666666667
2002 UEFA Champions League final,https://en.wikipedia.org/wiki/2002_UEFA_Champions_League_final,{},9,3,27,0.0,15026,0.631578947368421
2003 AIHL season,https://en.wikipedia.org/wiki/2003_AIHL_season,{},10,8,80,0.625,22,0.08333333333333334
2003 Australian GT Performance Car Championship,https://en.wikipedia.org/wiki/2003_Australian_GT_Performance_Car_Championship,{},36,6,216,0.5,18,0.18421052631578944
2003 Canadian Tour,https://en.wikipedia.org/wiki/2003_Canadian_Tour,{'Date': '%b %d'},11,6,66,0.3333333333333333,18,0.3194444444444445
2003 Jordanian general election,https://en.wikipedia.org/wiki/2003_Jordanian_general_election,{},17,6,102,0.8333333333333334,119,0.7222222222222222
2003 PGA Tour of Australasia,https://en.wikipedia.org/wiki/2003_PGA_Tour_of_Australasia,{'Date': '%d %b'},11,5,55,0.2,40,0.09523809523809525
2003 Rugby World Cup statistics,https://en.wikipedia.org/wiki/2003_Rugby_World_Cup_statistics,{},11,11,121,0.7272727272727273,171,0.3315508021390375
2004 Australian federal election,https://en.wikipedia.org/wiki/2004_Australian_federal_election,{},18,4,72,0.75,6890,0.16216216216216214
2004 Champions Tour,https://en.wikipedia.org/wiki/2004_Champions_Tour,{'Date': '%b %d'},30,5,150,0.2,64,0.8280701754385965
2004 NCAA Division I women's basketball tournament,https://en.wikipedia.org/wiki/2004_NCAA_Division_I_women%27s_basketball_tournament,{},33,3,99,0.3333333333333333,908,0.7096774193548386
2004 PGA Tour of Australasia,https://en.wikipedia.org/wiki/2004_PGA_Tour_of_Australasia,{'Date': '%d %b'},11,5,55,0.2,38,0.18461538461538463
2005 Armenian Premier League,https://en.wikipedia.org/wiki/2005_Armenian_Premier_League,{},9,4,36,0.25,54,0.5277777777777778
2005 Supercheap Auto 1000,https://en.wikipedia.org/wiki/2005_Supercheap_Auto_1000,{},10,6,60,0.3333333333333333,238,0.4166666666666667
2006–07 snooker season,https://en.wikipedia.org/wiki/2006%E2%80%9307_snooker_season,{},16,11,176,0.9090909090909091,232,0.30113636363636365
2006 Australian Performance Car Championship,https://en.wikipedia.org/wiki/2006_Australian_Performance_Car_Championship,{},22,6,132,0.0,9,0.14285714285714282
2006 Champions Tour,https://en.wikipedia.org/wiki/2006_Champions_Tour,{'Date': '%b %d'},29,5,145,0.2,68,0.8142857142857143
2006 Euro Beach Soccer League – Last chance bracket,https://en.wikipedia.org/wiki/2006_Euro_Beach_Soccer_League_%E2%80%93_Last_chance_bracket,{},12,2,24,0.5,15,0.25
2006 Kerrick Sports Sedan Series,https://en.wikipedia.org/wiki/2006_Kerrick_Sports_Sedan_Series,{},26,4,104,0.5,14,0.20454545454545456
2006 PGA Tour of Australasia,https://en.wikipedia.org/wiki/2006_PGA_Tour_of_Australasia,{'Date': '%d %b'},11,5,55,0.2,56,0.07692307692307691
2007–08 snooker season,https://en.wikipedia.org/wiki/2007%E2%80%9308_snooker_season,{},16,12,192,0.9166666666666666,249,0.09595959595959597
2007 Champions Tour,https://en.wikipedia.org/wiki/2007_Champions_Tour,{'Date': '%b %d'},29,5,145,0.2,61,0.7859649122807018
2007 League of Ireland Premier Division,https://en.wikipedia.org/wiki/2007_League_of_Ireland_Premier_Division,{},12,7,84,0.14285714285714285,254,0.7023809523809523
2008–09 Ukrainian Premier League,https://en.wikipedia.org/wiki/2008%E2%80%9309_Ukrainian_Premier_League,{},15,4,60,0.5,212,0.45161290322580644
2008–09 snooker season,https://en.wikipedia.org/wiki/2008%E2%80%9309_snooker_season,{},16,13,208,0.9230769230769231,228,0.07827260458839405
2008 Champions Tour,https://en.wikipedia.org/wiki/2008_Champions_Tour,{'Date': '%b %d'},29,5,145,0.2,69,0.7214285714285713
2008 PGA Tour,https://en.wikipedia.org/wiki/2008_PGA_Tour,{'Date': '%b %d'},10,5,50,0.2,776,0.6117647058823529
2008 United States presidential election in New Hampshire,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Hampshire,{},23,4,92,0.5,3337,0.3658536585365854
2008 United States presidential election in Washington (state),https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Washington_(state),{},9,4,36,0.5,2222,0.4210526315789474
2008 Washington Republican presidential caucuses and primary,https://en.wikipedia.org/wiki/2008_Washington_Republican_presidential_caucuses_and_primary,{},9,4,36,0.5,69,0.4411764705882353
2009–10 Summit League men's basketball season,https://en.wikipedia.org/wiki/2009%E2%80%9310_Summit_League_men%27s_basketball_season,{},10,4,40,0.25,15,0.4423076923076923
2009–10 snooker season,https://en.wikipedia.org/wiki/2009%E2%80%9310_snooker_season,{},16,11,176,0.9090909090909091,263,0.23863636363636365
2009 Champions Tour,https://en.wikipedia.org/wiki/2009_Champions_Tour,{'Date': '%b %d'},25,5,125,0.2,66,0.848
2010–11 Pakistan federal budget,https://en.wikipedia.org/wiki/2010%E2%80%9311_Pakistan_federal_budget,{},10,2,20,0.5,26,0.12
2010–2014 NCAA conference realignment,https://en.wikipedia.org/wiki/2010%E2%80%932014_NCAA_conference_realignment,{},29,6,174,0.8333333333333334,1351,0.35460992907801414
2010 Australian GT Championship,https://en.wikipedia.org/wiki/2010_Australian_GT_Championship,{},51,5,255,0.2,26,0.19733333333333333
2010 Champions Tour,https://en.wikipedia.org/wiki/2010_Champions_Tour,{'Date': '%b %d'},26,5,130,0.2,76,0.7764705882352941
2010s in video games,https://en.wikipedia.org/wiki/2010s_in_video_games,{},10,7,70,0.0,2596,0.3054187192118227
2011–12 South African Premiership,https://en.wikipedia.org/wiki/2011%E2%80%9312_South_African_Premiership,{},16,5,80,0.2,333,0.775
2011 Alps Tour,https://en.wikipedia.org/wiki/2011_Alps_Tour,{},10,4,40,0.5,13,0.09000000000000001
2011 Australian GT Championship,https://en.wikipedia.org/wiki/2011_Australian_GT_Championship,{},37,4,148,0.25,26,0.19186046511627908
2011 Big Easy Tour,https://en.wikipedia.org/wiki/2011_Big_Easy_Tour,{'Date': '%d %b'},11,5,55,0.2,10,0.10526315789473685
2011 Champions Tour,https://en.wikipedia.org/wiki/2011_Champions_Tour,{'Date': '%b %d'},24,5,120,0.2,70,0.9166666666666666
2011 European T20 Championship Division One,https://en.wikipedia.org/wiki/2011_European_T20_Championship_Division_One,{},12,3,36,0.0,16,0.4722222222222222
2011 European T20 Championship Division Two,https://en.wikipedia.org/wiki/2011_European_T20_Championship_Division_Two,{},11,3,33,0.0,31,0.463768115942029
2011 LSU vs. Alabama football game,https://en.wikipedia.org/wiki/2011_LSU_vs._Alabama_football_game,{},45,7,315,0.42857142857142855,1073,0.8331108144192256
2012–13 South African Premiership,https://en.wikipedia.org/wiki/2012%E2%80%9313_South_African_Premiership,{},16,5,80,0.2,239,0.7
2012–13 Ukrainian Premier League,https://en.wikipedia.org/wiki/2012%E2%80%9313_Ukrainian_Premier_League,"{'Date of vacancy': '%B %d', 'Date of appointment': '%B %d'}",23,7,161,0.0,256,0.3214285714285714
2012 ACC Trophy Elite,https://en.wikipedia.org/wiki/2012_ACC_Trophy_Elite,{},10,2,20,0.0,79,0.75
2012 Big Easy Tour,https://en.wikipedia.org/wiki/2012_Big_Easy_Tour,{'Date': '%d %b'},12,5,60,0.2,8,0.380952380952381
2012 Champions Tour,https://en.wikipedia.org/wiki/2012_Champions_Tour,{'Date': '%b %d'},24,5,120,0.2,61,0.8340425531914893
2012 Nordic Golf League,https://en.wikipedia.org/wiki/2012_Nordic_Golf_League,{},10,4,40,0.5,14,0.1
2012 Republican Party presidential debates and forums,https://en.wikipedia.org/wiki/2012_Republican_Party_presidential_debates_and_forums,{},8,2,16,0.0,538,0.5333333333333333
2012 St. Louis Cardinals season,https://en.wikipedia.org/wiki/2012_St._Louis_Cardinals_season,{},29,3,87,0.3333333333333333,434,0.13513513513513511
2012 Supercheap Auto Bathurst 1000,https://en.wikipedia.org/wiki/2012_Supercheap_Auto_Bathurst_1000,{},10,9,90,0.2222222222222222,219,0.5222222222222223
2012 Web.com Tour,https://en.wikipedia.org/wiki/2012_Web.com_Tour,{'Date': '%b %d'},27,6,162,0.3333333333333333,58,0.9012345679012346
2012 Zimbabwe Premier Soccer League,https://en.wikipedia.org/wiki/2012_Zimbabwe_Premier_Soccer_League,{},16,4,64,0.25,29,0.921875
2013–14 South African Premiership,https://en.wikipedia.org/wiki/2013%E2%80%9314_South_African_Premiership,{},16,5,80,0.2,262,0.7
2013–14 Ukrainian First League,https://en.wikipedia.org/wiki/2013%E2%80%9314_Ukrainian_First_League,{},26,4,104,0.5,41,0.4166666666666667
2013–14 Ukrainian Premier League,https://en.wikipedia.org/wiki/2013%E2%80%9314_Ukrainian_Premier_League,"{'Date of vacancy': '%B %d', 'Date of appointment': '%B %d'}",16,7,112,0.0,331,0.40476190476190477
2013 Australian Carrera Cup Championship,https://en.wikipedia.org/wiki/2013_Australian_Carrera_Cup_Championship,{},15,3,45,0.6666666666666666,36,0.1212121212121212
2013 Big Easy Tour,https://en.wikipedia.org/wiki/2013_Big_Easy_Tour,{'Date': '%d %b'},12,5,60,0.2,8,0.48333333333333334
2013 MENA Golf Tour,https://en.wikipedia.org/wiki/2013_MENA_Golf_Tour,{'Date': '%d %b'},10,5,50,0.2,11,0.5333333333333332
2013 PGA Tour,https://en.wikipedia.org/wiki/2013_PGA_Tour,{},10,4,40,0.75,1020,0.8000000000000002
2013 Pro Golf Tour,https://en.wikipedia.org/wiki/2013_Pro_Golf_Tour,{},10,4,40,0.5,10,0.18000000000000002
2013 Q School,https://en.wikipedia.org/wiki/2013_Q_School,{},10,6,60,0.8333333333333334,34,0.05059523809523809
2013 Zimbabwe Premier Soccer League,https://en.wikipedia.org/wiki/2013_Zimbabwe_Premier_Soccer_League,{},16,4,64,0.25,24,0.75
2014–15 PGA Tour,https://en.wikipedia.org/wiki/2014%E2%80%9315_PGA_Tour,{},10,4,40,0.75,923,0.14375
2014–15 South African Premiership,https://en.wikipedia.org/wiki/2014%E2%80%9315_South_African_Premiership,{},16,4,64,0.25,327,0.703125
2014 Commonwealth Games,https://en.wikipedia.org/wiki/2014_Commonwealth_Games,{'Date': '%d %B'},8,7,56,0.0,6381,0.13127413127413126
2014 PGA Tour Canada,https://en.wikipedia.org/wiki/2014_PGA_Tour_Canada,{'Date': '%b %d'},12,6,72,0.3333333333333333,30,0.8787878787878789
2014 Pro Golf Tour,https://en.wikipedia.org/wiki/2014_Pro_Golf_Tour,{},10,4,40,0.5,12,0.1
2014 Q School,https://en.wikipedia.org/wiki/2014_Q_School,{},10,5,50,0.6,25,0.03773584905660377
2015–16 PGA Tour,https://en.wikipedia.org/wiki/2015%E2%80%9316_PGA_Tour,{},10,4,40,0.75,1005,0.6
2015–16 Saudi Pro League,https://en.wikipedia.org/wiki/2015%E2%80%9316_Saudi_Pro_League,{},27,4,108,0.75,148,0.509433962264151
2015–16 South African Premiership,https://en.wikipedia.org/wiki/2015%E2%80%9316_South_African_Premiership,{},16,4,64,0.25,244,0.703125
2015 Alps Tour,https://en.wikipedia.org/wiki/2015_Alps_Tour,{},10,4,40,0.5,21,0.21666666666666667
2015 MERS outbreak in South Korea,https://en.wikipedia.org/wiki/2015_MERS_outbreak_in_South_Korea,{'Date': '%d %B %Y'},70,3,210,0.6666666666666666,257,0.10919540229885057
2015 PGA Tour Canada,https://en.wikipedia.org/wiki/2015_PGA_Tour_Canada,{'Date': '%b %d'},12,6,72,0.3333333333333333,68,0.855072463768116
2015 Pacific Games,https://en.wikipedia.org/wiki/2015_Pacific_Games,{},24,6,144,0.8333333333333334,605,0.8623188405797102
2015 Pro Golf Tour,https://en.wikipedia.org/wiki/2015_Pro_Golf_Tour,{},10,4,40,0.5,15,0.1142857142857143
2015 Q School,https://en.wikipedia.org/wiki/2015_Q_School,{},10,5,50,0.6,31,0.03225806451612903
2015 SARU Community Cup,https://en.wikipedia.org/wiki/2015_SARU_Community_Cup,{},20,4,80,0.0,58,0.5
2015 UCI men's road cycling rankings,https://en.wikipedia.org/wiki/2015_UCI_men%27s_road_cycling_rankings,{},10,3,30,0.6666666666666666,16,0.5333333333333333
2015 Web.com Tour,https://en.wikipedia.org/wiki/2015_Web.com_Tour,{'Date': '%b %d'},25,6,150,0.3333333333333333,69,0.8819444444444444
2015 Western Michigan Broncos football team,https://en.wikipedia.org/wiki/2015_Western_Michigan_Broncos_football_team,{},10,4,40,0.0,231,0.608695652173913
2016–17 PGA Tour,https://en.wikipedia.org/wiki/2016%E2%80%9317_PGA_Tour,{},10,4,40,0.75,1202,0.425
2016–17 Saudi Pro League,https://en.wikipedia.org/wiki/2016%E2%80%9317_Saudi_Pro_League,{},27,4,108,0.75,151,0.509433962264151
2016–17 Ukrainian Premier League,https://en.wikipedia.org/wiki/2016%E2%80%9317_Ukrainian_Premier_League,{},19,4,76,0.5,261,0.4516129032258065
2016–17 United States national rugby sevens team season,https://en.wikipedia.org/wiki/2016%E2%80%9317_United_States_national_rugby_sevens_team_season,{},12,5,60,0.8,7,0.3
2016 AFC Champions League,https://en.wikipedia.org/wiki/2016_AFC_Champions_League,{},11,3,33,0.0,1700,0.3333333333333333
2016 Democratic Party presidential debates and forums,https://en.wikipedia.org/wiki/2016_Democratic_Party_presidential_debates_and_forums,{},9,4,36,0.25,753,0.41304347826086957
2016 PGA Tour Canada,https://en.wikipedia.org/wiki/2016_PGA_Tour_Canada,{'Date': '%b %d'},12,6,72,0.3333333333333333,37,0.6521739130434783
2016 Republican Party presidential debates and forums,https://en.wikipedia.org/wiki/2016_Republican_Party_presidential_debates_and_forums,{},12,4,48,0.25,2560,0.9166666666666666
2016 USL season,https://en.wikipedia.org/wiki/2016_USL_season,{},29,7,203,0.14285714285714285,242,0.8029556650246306
2016 United Kingdom European Union membership referendum,https://en.wikipedia.org/wiki/2016_United_Kingdom_European_Union_membership_referendum,{},13,4,52,0.0,22910,0.4642857142857143
2016 Western Michigan Broncos football team,https://en.wikipedia.org/wiki/2016_Western_Michigan_Broncos_football_team,{},10,4,40,0.0,1222,0.6363636363636365
2017–18 Saudi Pro League,https://en.wikipedia.org/wiki/2017%E2%80%9318_Saudi_Pro_League,{},27,4,108,0.75,234,0.5283018867924528
2017–18 Ukrainian Premier League,https://en.wikipedia.org/wiki/2017%E2%80%9318_Ukrainian_Premier_League,{},15,5,75,0.4,260,0.6666666666666665
2017–18 United States national rugby sevens team season,https://en.wikipedia.org/wiki/2017%E2%80%9318_United_States_national_rugby_sevens_team_season,{},14,4,56,0.0,15,0.765625
2017 Alps Tour,https://en.wikipedia.org/wiki/2017_Alps_Tour,{},10,4,40,0.5,21,0.23333333333333334
2017 Euro Beach Soccer League,https://en.wikipedia.org/wiki/2017_Euro_Beach_Soccer_League,{},8,3,24,0.3333333333333333,44,0.2916666666666667
2017 PGA Tour Canada,https://en.wikipedia.org/wiki/2017_PGA_Tour_Canada,{'Date': '%b %d'},12,6,72,0.3333333333333333,39,0.8260869565217391
2017 Q School,https://en.wikipedia.org/wiki/2017_Q_School,{},10,5,50,0.8,25,0.062385321100917435
2017 UEFA Champions League final,https://en.wikipedia.org/wiki/2017_UEFA_Champions_League_final,{},10,3,30,0.0,17172,0.41666666666666663
2017 UEFA Women's Champions League final,https://en.wikipedia.org/wiki/2017_UEFA_Women%27s_Champions_League_final,{},10,3,30,0.0,135,0.40579710144927544
2017 Western Michigan Broncos men's soccer team,https://en.wikipedia.org/wiki/2017_Western_Michigan_Broncos_men%27s_soccer_team,{},8,2,16,0.0,14,0.39999999999999997
2018–19 Bangladesh Premier League (football),https://en.wikipedia.org/wiki/2018%E2%80%9319_Bangladesh_Premier_League_(football),{},13,4,52,0.25,93,0.5961538461538461
2018–19 Saudi Pro League,https://en.wikipedia.org/wiki/2018%E2%80%9319_Saudi_Pro_League,{},16,4,64,0.25,482,0.796875
2018–19 Ukrainian Premier League,https://en.wikipedia.org/wiki/2018%E2%80%9319_Ukrainian_Premier_League,{},11,5,55,0.4,315,0.6434782608695652
2018–19 United States national rugby sevens team season,https://en.wikipedia.org/wiki/2018%E2%80%9319_United_States_national_rugby_sevens_team_season,{},12,5,60,0.6,16,0.368
2018–19 snooker world rankings,https://en.wikipedia.org/wiki/2018%E2%80%9319_snooker_world_rankings,{'Date': '%d %b %Y'},11,4,44,0.25,73,0.2931034482758621
2018 CONCACAF Champions League final,https://en.wikipedia.org/wiki/2018_CONCACAF_Champions_League_final,{},10,3,30,0.0,186,0.3636363636363636
2018 Euro Beach Soccer League,https://en.wikipedia.org/wiki/2018_Euro_Beach_Soccer_League,{},14,4,56,0.75,61,0.0625
2018 FIFA Club World Cup final,https://en.wikipedia.org/wiki/2018_FIFA_Club_World_Cup_final,{},10,3,30,0.0,851,0.4444444444444445
2018 J2 League,https://en.wikipedia.org/wiki/2018_J2_League,{},11,4,44,0.5,130,0.2142857142857143
2018 PGA Tour Canada,https://en.wikipedia.org/wiki/2018_PGA_Tour_Canada,{'Date': '%b %d'},13,6,78,0.3333333333333333,44,0.8194444444444444
2018 Pakistani Senate election,https://en.wikipedia.org/wiki/2018_Pakistani_Senate_election,{},33,3,99,0.0,515,0.13698630136986303
2018 Philippine Golf Tour,https://en.wikipedia.org/wiki/2018_Philippine_Golf_Tour,{'Date': '%d %b'},10,5,50,0.2,9,0.1846153846153846
2018 Q School,https://en.wikipedia.org/wiki/2018_Q_School,{},10,6,60,0.8333333333333334,76,0.045454545454545456
2018 Trinidad and Tobago floods,https://en.wikipedia.org/wiki/2018_Trinidad_and_Tobago_floods,{},27,2,54,0.0,51,0.14925373134328357
2018 UEFA Women's Champions League final,https://en.wikipedia.org/wiki/2018_UEFA_Women%27s_Champions_League_final,{},10,3,30,0.0,226,0.6031746031746033
2018 Western Michigan Broncos football team,https://en.wikipedia.org/wiki/2018_Western_Michigan_Broncos_football_team,{},8,4,32,0.0,207,0.3695652173913043
2019–20 Bangladesh Premier League (football),https://en.wikipedia.org/wiki/2019%E2%80%9320_Bangladesh_Premier_League_(football),{},13,4,52,0.25,75,0.6153846153846154
2019–20 Saudi Pro League,https://en.wikipedia.org/wiki/2019%E2%80%9320_Saudi_Pro_League,{},31,4,124,0.75,445,0.6311475409836066
2019–20 Ukrainian Premier League,https://en.wikipedia.org/wiki/2019%E2%80%9320_Ukrainian_Premier_League,{},20,5,100,0.4,412,0.5
2019–20 snooker world rankings,https://en.wikipedia.org/wiki/2019%E2%80%9320_snooker_world_rankings,{'Date': '%d %B %Y'},10,4,40,0.25,88,0.27586206896551724
2019 AFC Champions League final,https://en.wikipedia.org/wiki/2019_AFC_Champions_League_final,{},11,3,33,0.0,248,0.4358974358974359
2019 Euro Beach Soccer League,https://en.wikipedia.org/wiki/2019_Euro_Beach_Soccer_League,{},8,3,24,0.3333333333333333,54,0.20833333333333334
2019 Pacific Games,https://en.wikipedia.org/wiki/2019_Pacific_Games,{},24,6,144,0.8333333333333334,846,0.8958333333333334
2019 UEFA Women's Champions League final,https://en.wikipedia.org/wiki/2019_UEFA_Women%27s_Champions_League_final,{},10,3,30,0.0,304,0.5396825396825397
2020–21 Bangladesh Premier League (football),https://en.wikipedia.org/wiki/2020%E2%80%9321_Bangladesh_Premier_League_(football),{},40,5,200,0.6,114,0.06037735849056603
2020–21 Saudi Pro League,https://en.wikipedia.org/wiki/2020%E2%80%9321_Saudi_Pro_League,{},16,4,64,0.25,424,0.90625
2020–21 snooker world rankings,https://en.wikipedia.org/wiki/2020%E2%80%9321_snooker_world_rankings,{'Date': '%d %b %Y'},8,4,32,0.25,87,0.2619047619047619
2020 AFC Champions League,https://en.wikipedia.org/wiki/2020_AFC_Champions_League,{},11,3,33,0.0,3453,0.3939393939393939
2020 CAF Champions League final,https://en.wikipedia.org/wiki/2020_CAF_Champions_League_final,{},8,3,24,0.0,209,0.34920634920634913
2020 CONCACAF Champions League final,https://en.wikipedia.org/wiki/2020_CONCACAF_Champions_League_final,{},10,3,30,0.0,178,0.4444444444444444
2020 DFB-Pokal final,https://en.wikipedia.org/wiki/2020_DFB-Pokal_final,{},10,3,30,0.0,208,0.42857142857142855
2020 Metro Manila Film Festival,https://en.wikipedia.org/wiki/2020_Metro_Manila_Film_Festival,{},10,5,50,0.0,1037,0.66
2020 PGA Tour Canada,https://en.wikipedia.org/wiki/2020_PGA_Tour_Canada,{'Date': '%b %d'},13,3,39,0.0,30,0.6133333333333332
2020 Suncorp Super Netball season,https://en.wikipedia.org/wiki/2020_Suncorp_Super_Netball_season,{},8,4,32,0.0,128,0.8125
2020 UEFA Champions League final,https://en.wikipedia.org/wiki/2020_UEFA_Champions_League_final,{},10,3,30,0.0,23582,0.35897435897435903
2020 UEFA Europa League final,https://en.wikipedia.org/wiki/2020_UEFA_Europa_League_final,{},10,3,30,0.0,3801,0.38461538461538464
2020 UEFA Women's Champions League final,https://en.wikipedia.org/wiki/2020_UEFA_Women%27s_Champions_League_final,{},10,3,30,0.0,564,0.4444444444444444
2021–2026 NCAA conference realignment,https://en.wikipedia.org/wiki/2021%E2%80%932026_NCAA_conference_realignment,{},14,3,42,0.0,9477,0.18918918918918917
2021–22 Bangladesh Premier League (football),https://en.wikipedia.org/wiki/2021%E2%80%9322_Bangladesh_Premier_League_(football),{},12,4,48,0.25,272,0.4375
2021–22 Sunshine Tour,https://en.wikipedia.org/wiki/2021%E2%80%9322_Sunshine_Tour,{},11,4,44,0.5,65,0.1619718309859155
2021 CAF Champions League final,https://en.wikipedia.org/wiki/2021_CAF_Champions_League_final,{},8,3,24,0.0,678,0.3333333333333333
2021 European Truck Racing Championship,https://en.wikipedia.org/wiki/2021_European_Truck_Racing_Championship,{},16,2,32,0.0,112,0.35714285714285715
2021 Q School,https://en.wikipedia.org/wiki/2021_Q_School,{},10,6,60,0.8333333333333334,61,0.06363636363636364
2021 Suncorp Super Netball season,https://en.wikipedia.org/wiki/2021_Suncorp_Super_Netball_season,{},16,3,48,0.0,198,0.22666666666666666
