Date,Show,Network
September 05,The Secret Files of the Spy Dogs,Fox Kids
September 06,It's a Miracle,PAX TV
September 07,The Mystic Knights of Tir Na Nog,Fox Kids
September 09,First Wave,Sci-Fi Channel
September 11,Living in Captivity,Fox
September 12,Animorphs,Nickelodeon
September 12,One World,NBC
September 12,Godzilla: The Series,Fox Kids
September 12,Mad Jack the Pirate,Fox Kids
September 12,The Mr. Potato Head Show,Fox Kids
September 12,Young Hercules,Fox Kids
September 13,The Army Show,The WB
September 14,Judge Joe Brown,Syndication
September 14,The Roseanne Show,Syndication
September 14,Total Request Live,MTV
September 14,Histeria!,Kids' WB
September 15,Costello,Fox
September 19,"Pinky, Elmyra & the Brain",Kids' WB
September 21,The Brian Benben Show,CBS
September 21,The King of Queens,CBS
September 21,L.A. Doctors,CBS
September 21,Change of Heart,Syndication
September 21,Donny & Marie,Syndication
September 21,Hyperion Bay,The WB
September 21,Conrad Bloom,NBC
September 21,Will & Grace,NBC
September 22,Encore! Encore!,NBC
September 22,The Hughleys,ABC
September 22,Sports Night,ABC
September 24,Jesse,NBC
September 25,Buddy Faro,CBS
September 25,Brother's Keeper,ABC
September 25,Two of a Kind,ABC
September 26,Cupid,ABC
September 26,Fantasy Island,ABC
September 26,Martial Law,CBS
September 26,V.I.P.,Syndication
September 28,The Cut,MTV
September 29,Vengeance Unlimited,ABC
September 29,Felicity,The WB
September 30,The Secret Lives of Men,ABC
September 30,Maggie Winters,CBS
September 30,To Have & to Hold,CBS
October 02,Friday Night Fights,ESPN2
October 02,Off the Wall,Disney Channel
October 03,Birdz,CBS
October 03,Flying Rhino Junior High,CBS
October 03,Mortal Kombat: Konquest,Syndication
October 03,Anatole,CBS
October 03,Dumb Bunnies,CBS
October 04,Air America,Syndication
October 04,Rolie Polie Olie,Playhouse Disney
October 05,Inquizition,Game Show Network
October 05,Noddy,PBS Kids
October 05,DiResta,UPN
October 05,Guys Like Us,UPN
October 05,The Secret Diary of Desmond Pfeiffer,UPN
October 06,Mercy Point,UPN
October 07,Charmed,The WB
October 07,Out of the Box,Playhouse Disney
October 07,Seven Days,UPN
October 09,Legacy,UPN
October 10,Brats of the Lost Nebula,Kids' WB
October 11,"Malibu, CA",Syndication
October 16,Trinity,NBC
October 17,Wind on Water,NBC
October 19,The New Addams Family,Fox Family
October 20,The FBI Files,Discovery Channel
October 23,Brimstone,Fox
October 25,The Famous Jett Jackson,Disney Channel
October 27,America's Greatest Pets,UPN
October 27,Reunited,UPN
November 02,Becker,CBS
November 02,Jay Jay the Jet Plane,TLC
November 07,City Confidential,A&E
November 07,Little Men,PAX TV
November 07,Mythic Warriors,CBS
November 18,The Powerpuff Girls,Cartoon Network
December 01,Comedy Central Presents,Comedy Central
