Year,Launched,Model,Family,Discontinued
1994,"February 2, 1994",Macintosh LC 575,LC,"April 3, 1995"
1994,"March 14, 1994",Power Macintosh 6100,Power Macintosh,"October 14, 1995"
1994,"March 14, 1994",Power Macintosh 7100,Power Macintosh,"August 5, 1996"
1994,"March 14, 1994",Power Macintosh 8100,Power Macintosh,"August 5, 1996"
1994,"April 26, 1994",Workgroup Server 6150,Workgroup Server,"October 1, 1995"
1994,"April 26, 1994",Workgroup Server 8150,Workgroup Server,"February 26, 1996"
1994,"April 26, 1994",Workgroup Server 9150,Workgroup Server,"February 26, 1996"
1994,"May 16, 1994",PowerBook 520/c,PowerBook 500,"September 16, 1995"
1994,"May 16, 1994",PowerBook 540/c,PowerBook 500,"August 16, 1995"
1994,"May 16, 1994",PowerBook 550,PowerBook 500,"April 1, 1996"
1994,"May 16, 1994",PowerBook Duo 280,PowerBook Duo,"November 14, 1994"
1994,"May 16, 1994",PowerBook Duo 280c,PowerBook Duo,"January 1, 1996"
1994,"July 18, 1994",Macintosh Quadra 630,Quadra,"April 17, 1995"
1994,"July 18, 1994",PowerBook 150,PowerBook 100,"October 14, 1995"
1995,"April 3, 1995",Macintosh LC 580,LC,"August 1, 1995"
1995,"April 3, 1995",Power Macintosh 5200 LC,Power Macintosh,"April 13, 1996"
1995,"May 1, 1995",Power Macintosh 6200,Power Macintosh,"May 1, 1996"
1995,"June 19, 1995",Power Macintosh 9500,Power Macintosh,"February 17, 1997"
1995,"August 7, 1995",Power Macintosh 7200,Power Macintosh,"February 1, 1997"
1995,"August 7, 1995",Power Macintosh 7500,Power Macintosh,"April 1, 1996"
1995,"August 7, 1995",Power Macintosh 8500,Power Macintosh,"February 17, 1997"
1995,"August 28, 1995",PowerBook 190,PowerBook 100,"September 1, 1996"
1995,"August 28, 1995",PowerBook 5300,PowerBook 500,"August 3, 1996"
1995,"August 28, 1995",PowerBook Duo 2300c,PowerBook Duo,"February 1, 1997"
1995,"August 28, 1995",Power Macintosh 5300 LC,Power Macintosh,"April 1, 1996"
1996,"February 15, 1996",Apple Network Server 500,Network Server,"April 1, 1997"
1996,"February 15, 1996",Apple Network Server 700/150,Network Server,"April 1, 1997"
1996,"February 26, 1996",Workgroup Server 7250,Workgroup Server,"April 21, 1997"
1996,"February 26, 1996",Workgroup Server 8550,Workgroup Server,"April 21, 1997"
1996,"April 15, 1996",Power Macintosh 5260,Power Macintosh,"March 1, 1997"
1996,"April 15, 1996",Power Macintosh 5400,Power Macintosh,"March 31, 1998"
1996,"April 22, 1996",Power Macintosh 7600,Power Macintosh,"November 10, 1997"
1996,"June 27, 1996",Power Macintosh 6300,Power Macintosh,"July 1, 1997"
1996,"October 16, 1996",Apple Network Server 700/200,Network Server,"April 1, 1997"
1996,"October 23, 1996",Power Macintosh 6400,Power Macintosh,"May 1, 1997"
1996,"November 15, 1996",Power Macintosh 4400,Power Macintosh,"October 11, 1997"
1996,"November 20, 1996",PowerBook 1400,PowerBook,"May 6, 1998"
1997,"February 17, 1997",Power Macintosh 5500,Power Macintosh,"August 31, 1998"
1997,"February 17, 1997",Power Macintosh 6500,Power Macintosh,"March 14, 1998"
1997,"February 17, 1997",Power Macintosh 7220,Power Macintosh,"January 1, 1998"
1997,"February 17, 1997",Power Macintosh 7300,Power Macintosh,"November 10, 1997"
1997,"February 17, 1997",Power Macintosh 8600,Power Macintosh,"February 17, 1998"
1997,"February 17, 1997",Power Macintosh 9600,Power Macintosh,"March 17, 1998"
1997,"February 17, 1997",PowerBook 3400c,PowerBook,"March 14, 1998"
1997,"March 20, 1997",Twentieth Anniversary Macintosh,Power Macintosh,"March 14, 1998"
1997,"April 21, 1997",Workgroup Server 7350,Workgroup Server,"March 2, 1998"
1997,"April 21, 1997",Workgroup Server 9650,Workgroup Server,"March 2, 1998"
1997,"May 8, 1997",PowerBook 2400c,PowerBook,"March 14, 1998"
1997,"November 10, 1997",Power Macintosh G3 desktop,Power Macintosh,"December 14, 1998"
1997,"November 10, 1997",Power Macintosh G3 minitower,Power Macintosh,"December 14, 1998"
1997,"November 10, 1997",PowerBook G3,PowerBook G3,"March 14, 1998"
1998,"January 31, 1998",Power Macintosh G3 AIO,Power Macintosh,"October 17, 1998"
1998,"March 2, 1998",Macintosh Server G3,Workgroup Server,"January 1, 1999"
1998,"May 1, 1998",PowerBook G3,PowerBook G3,"August 31, 1998"
1998,"August 15, 1998",iMac G3,iMac,"January 5, 1999"
1998,"August 15, 1998",PowerBook G3,PowerBook G3,"May 10, 1999"
1998,"October 26, 1998",iMac G3,iMac,"January 5, 1999"
1999,"January 5, 1999",Power Macintosh G3 Blue and White,Power Macintosh,"October 13, 1999"
1999,"January 5, 1999",Macintosh Server G3 Blue and White,Workgroup Server,"August 31, 1999"
1999,"January 5, 1999",iMac G3 266,iMac,"April 14, 1999"
1999,"April 14, 1999",iMac G3 333,iMac,"October 5, 1999"
1999,"May 10, 1999",PowerBook G3,PowerBook G3,"February 16, 2000"
1999,"June 21, 1999",iBook,iBook,"September 13, 2000"
1999,"August 31, 1999",Macintosh Server G4,Workgroup Server,"July 19, 2000"
1999,"August 31, 1999",Power Mac G4 Graphite,Power Mac,"June 20, 2004"
1999,"October 5, 1999",iMac G3 Slot Loading,iMac,"March 18, 2003"
