Date,Show,Network,Debut,Status
May 22,The Rosie O'Donnell Show,Syndication,1996,Cancelled
May 22,Sally,Syndication,1983,Cancelled
May 24,Friday Night Videos,NBC,1983,Cancelled
May 24,Shop 'til You Drop,PAX TV,1991,Cancelled
May 25,Maximum Exposure,Syndication,2000,Cancelled
May 27,Family Law,CBS,1999,Cancelled
May 28,Philly,ABC,2001,Cancelled
May 29,That '80s Show,Fox,2002,Cancelled
June 02,The Education of Max Bickford,CBS,2001,Cancelled
June 06,Celebrity Deathmatch,MTV,1998,Cancelled
June 12,NBA on NBC,NBC,1990,Cancelled
June 15,The Tex Avery Show,Cartoon Network,1996,Cancelled
June 21,Smush,USA,2001,Cancelled
June 22,Alienators: Evolution Continues,Fox Kids,2001,Cancelled
June 25,Unscripted with Chris Connelly,ESPN,2001,Cancelled
June 29,Mary-Kate and Ashley in Action!,ABC,2001,Cancelled
June 29,Phantom Investigators,Kids' WB,2002,Cancelled
July 05,Politically Incorrect,ABC,1993,Cancelled
July 13,Spy Groove,MTV,2000,Cancelled
July 17,Breaking News,Bravo,2002,Cancelled
July 27,The New Woody Woodpecker Show,Fox Kids,1999,Cancelled
August 08,Pop-Up Video,VH1,1996,Cancelled
August 10,The Zeta Project,Kids' WB,2001,Cancelled
August 11,For Your Love,The WB,1998,Cancelled
August 11,Greg the Bunny,Fox,2002,Cancelled
August 11,Mission Hill,Adult Swim,1999,Cancelled
August 12,Titus,Fox,2000,Cancelled
August 18,A Nero Wolfe Mystery,A&E,2001,Cancelled
August 18,Totally in Tune,Disney Channel,2002,Cancelled
August 20,The Rerun Show,NBC,2002,Cancelled
August 24,Galidor: Defenders of the Outer Dimension,Fox Kids,2002,Cancelled
August 26,Witchblade,TNT,2001,Cancelled
August 30,I Bet You Will,MTV,2002,Cancelled
August 30,Dennis Miller Live,HBO,1994,Cancelled
August 31,Teen Summit,BET,1989,Cancelled
September 01,Contest Searchlight,Comedy Central,2002,Cancelled
September 05,Beyond Belief: Fact or Fiction,Fox,1997,Cancelled
September 05,Undressed,MTV,1999,Cancelled
September 07,Just Deal,NBC,2000,Cancelled
September 08,Arliss,HBO,1996,Cancelled
September 18,Resurrection Blvd.,Showtime,2000,Cancelled
September 20,Unsolved Mysteries,Lifetime,1987,Cancelled
September 21,The Amanda Show,Nickelodeon,1999,Cancelled
October 01,Son of the Beach,FX,2000,Cancelled
October 04,That Was Then,ABC,2002,Cancelled
October 05,"Sagwa, the Chinese Siamese Cat",PBS Kids,2001,Cancelled
October 06,Nickelodeon Robot Wars,Nickelodeon,2002,Cancelled
October 07,Wild & Crazy Kids,Nickelodeon,1990,Cancelled
October 07,Beat the Geeks,Comedy Central,2001,Cancelled
October 14,The Oblongs,The WB,2001,Cancelled
October 15,Odyssey 5,Showtime,2002,Cancelled
October 18,Grim & Evil,Cartoon Network,2001,Cancelled
October 24,"Push, Nevada",ABC,2002,Cancelled
October 27,Bram & Alice,CBS,2002,Cancelled
October 27,O2Be,Oxygen,2002,Cancelled
October 28,Girls Club,Fox,2002,Cancelled
October 31,Off Centre,The WB,2001,Cancelled
November 05,Haunted,UPN,2002,Cancelled
November 15,Pelswick,Nickelodeon,2000,Cancelled
November 22,In Search of...,Sci-Fi Channel,1977,Cancelled
November 22,Courage the Cowardly Dog,Cartoon Network,1999,Cancelled
December 04,State of Grace,ABC Family,2001,Cancelled
December 10,Invader Zim,Nickelodeon,2001,Cancelled
December 11,MDs,ABC,2002,Cancelled
December 15,Do Over,The WB,2002,Cancelled
December 18,The Sylvester & Tweety Mysteries,Cartoon Network,1995,Cancelled
December 20,Providence,NBC,1999,Cancelled
December 20,Firefly,Fox,2002,Cancelled
December 20,I Love the '80s,VH1,2002,Cancelled
December 21,BattleBots,Comedy Central,2000,Cancelled
