Name (Alphabetical Last Name),Party,Date of Appointment,Date of Retirement,Term,State
S. S. Ahluwalia,BJP,03/04/2000,02/04/2006,3,Jharkhand
S. S. Ahluwalia,BJP,03/04/2006,02/04/2012,4,Jharkhand
Dr. Abrar Ahmed,INC,03/04/1988,02/04/1994,1,Rajasthan
Dr. Abrar Ahmed,INC,10/04/2002,04/05/2004,2,Rajasthan
Dr. Z A Ahmad,CPI,03/04/1958,19/03/1962,1,Uttar Pradesh
Dr. Z A Ahmad,CPI,03/04/1966,02/04/1972,2,Uttar Pradesh
Dr. Z A Ahmad,CPI,03/04/1972,02/04/1978,3,Uttar Pradesh
Dr. Z A Ahmad,CPI,23/08/1990,02/04/1994,4,Uttar Pradesh
Fakhruddin Ali Ahmed,INC,03/04/1954,25/03/1957,1,Assam
Fakhruddin Ali Ahmed,INC,03/04/1966,25/02/1967,2,Assam
Sheikh Khabir Uddin Ahmed,CPI,03/04/2002,02/04/2008,1,West Bengal
Wasim Ahmad,IND,30/11/1996,04/07/1998,1,Uttar Pradesh
M. J. Akbar,BJP,03/07/2015,29/06/2016,1,Jharkhand
M. J. Akbar,BJP,30/06/2016,29/06/2022,2,Madhya Pradesh
Mani Shankar Aiyar,NOM,22/03/2010,21/03/2016,1,Delhi
Sudarshan Akarapu,TDP,10/04/2002,09/04/2008,1,Andhra Pradesh
Jagannath Sitaram Akarte,INC,05/07/1980,04/07/1986,1,Maharashtra
Javed Akhtar,NOM,22/03/2010,21/03/2016,1,Maharashtra
Kamal Akhtar,SP,05/07/2004,04/07/2010,1,Uttar Pradesh
Aladi Aruna,AIADMK,25/07/1983,24/07/1989,1,Uttar Pradesh
Yoginder K Alagh,IND,26/11/1996,02/04/2000,1,Gujarat
Dr. P. C. Alexander,IND,29/07/2002,02/04/2008,1,Maharashtra
Abid Ali,INC,03/04/1952,02/04/1954,1,Bombay
Abid Ali,INC,03/04/1954,02/04/1958,2,Bombay
Abid Ali,INC,03/04/1958,02/04/1964,3,Bombay/Maharashtra
Abid Ali,CONG,03/04/1964,02/04/1970,4,Maharashtra
Dr. Ejaz Ali,JD,20/03/2008,07/07/2010,1,Bihar
Munquad Ali,BSP,03/04/2012,02/04/2018,1,Uttar Pradesh
Sabir Ali,LJP,10/04/2008,15/11/2011,1,Bihar
Sabir Ali,JD,16/12/2011,09/04/2014,2,Bihar
Syed Rahmat Ali,INC,03/04/1980,02/04/1986,1,Andhra Pradesh
Kumari Alia,INC,11/10/1989,04/07/1992,1,Uttar Pradesh
S. Peter Alphonse,INC,03/04/1996,09/09/1997,1,Tamil Nadu
S. Peter Alphonse,TMC,10/10/1997,02/04/2002,2,Tamil Nadu
Joachim Alva,NOM,03/04/1968,02/04/1974,2,Karnataka
Dr. K. Nagappa Alva,INC,03/04/1970,02/04/1976,1,Karnataka
Margaret Alva,INC,03/04/1974,02/04/1980,1,Karnataka
Margaret Alva,INC,03/04/1980,02/04/1986,2,Karnataka
Margaret Alva,INC,03/04/1986,02/04/1992,3,Karnataka
Margaret Alva,INC,03/04/1992,02/04/1998,4,Karnataka
Violet Alva,INC,03/04/1952,02/04/1960,1,Mysore
Violet Alva,INC,03/04/1960,02/04/1966,2,Mysore
Violet Alva,INC,03/04/1966,20/11/1969,3,Bombay
Raashid Alvi,INC,22/06/2004,02/04/2006,1,Andhra Pradesh
Raashid Alvi,INC,03/04/2006,02/04/2012,2,Andhra Pradesh
Debananda Amat,INC,06/03/1973,02/04/1974,1,Odisha
Anil Dhirubhai Ambani,IND,05/07/2004,29/03/2006,1,Uttar Pradesh
Dr. B.R. Ambedkar,RPI,03/04/1952,02/04/1956,1,Bombay
Dr. B.R. Ambedkar,RPI,03/04/1956,06/12/1956,2,Bombay
Prakash Ambedkar,NOM,18/09/1990,17/09/1996,1,Maharashtra
Mohammed Amin,CPI,03/04/1988,02/04/1994,1,West Bengal
Mohammed Amin,CPI,17/05/2007,18/08/2011,2,West Bengal
Sardar Amjad Ali,INC,03/04/1972,02/04/1978,1,West Bengal
Tirath Ram Amla,INC,04/05/1967,02/04/1970,1,Jammu & Kashmir
Tirath Ram Amla,INC,03/04/1970,02/04/1976,2,Jammu & Kashmir
Tirath Ram Amla,INC,03/04/1976,02/04/1982,3,Jammu & Kashmir
Tirath Ram Amla,INC,12/12/1985,11/12/1991,4,Jammu & Kashmir
Jagjit Singh Anand,CPI,03/04/1974,02/04/1980,1,Punjab
R. K. Anand,INC,03/04/2000,02/04/2006,1,Jharkhand
M. Anandam,INC,11/03/1969,02/04/1974,1,Andhra Pradesh
M. Anandam,INC,03/04/1974,02/04/1980,2,Andhra Pradesh
T.V. Anandan,CONG,03/04/1964,02/04/1970,1,Tamil Nadu
T.V. Anandan,CONG,03/04/1970,02/04/1976,2,Tamil Nadu
P. Anbalagan,AIADMK,28/07/1980,02/04/1984,1,Tamil Nadu
S. Anbalagan,AIADMK,30/06/2004,29/06/2010,1,Tamil Nadu
Sardar Chandroji Sambhaji Rao Angre,SWP,03/04/1952,02/04/1954,1,Madhya Bharat
Sardar Sambhaji Chandroji Angre,JS,03/04/1970,02/04/1976,1,Madhya Pradesh
T. Anjiah,INC,10/04/1978,19/02/1981,1,Arunachal Pradesh
C.N. Annadurai,DMK,03/04/1962,25/02/1967,1,Madras
Abdul Qaiyum Ansari,INC,03/04/1970,19/03/1972,1,Bihar
Faridul Haq Ansari,PSP,03/04/1958,02/04/1964,1,Uttar Pradesh
Faridul Haq Ansari,PSP,03/04/1964,04/04/1966,2,Uttar Pradesh
Hayatulla Ansari,INC,03/04/1966,02/04/1972,1,Uttar Pradesh
Hayatulla Ansari,NOM,27/09/1982,26/09/1988,1,Uttar Pradesh
Jalaludin Ansari,INC,03/04/1994,02/04/2000,1,Bihar
Mohammed Amin Ansari,INC,03/04/1988,14/07/1990,1,Uttar Pradesh
Salim Ansari,BSP,05/07/2010,04/07/2016,1,Uttar Pradesh
Ansaruddin Ahmed,INC,03/04/1958,02/04/1964,1,West Bengal
Dr. Biharilal Naranji Antani,SWP,03/04/1966,16/09/1971,1,Gujarat
A. K. Antony,INC,03/04/1985,02/04/1991,1,Kerala
A. K. Antony,INC,03/04/1991,1996,2,Kerala
A. K. Antony,INC,03/05/2005,02/04/2010,3,Kerala
A. K. Antony,INC,03/04/2010,02/04/2016,4,Kerala
A. K. Antony,INC,03/04/2016,02/04/2022,5,Kerala
Abdul Rehman Antulay,INC,03/04/1976,03/07/1980,1,Maharashtra
Ali Anwar,JDU,03/04/2006,02/04/2012,1,Bihar
Ali Anwar,JDU,03/04/2012,02/04/2018,2,Bihar
N. M. Anwar,INC,03/04/1960,02/04/1966,1,Madras
G. A. Appan,DMK,03/04/1968,02/04/1974,1,Madras/Tamil Nadu
M. R. Apparow,INC,20/03/1981,02/04/1982,1,Andhra Pradesh
Balavant Apte,BJP,03/04/2000,02/04/2006,1,Maharashtra
Balavant Apte,BJP,03/04/2006,02/04/2012,2,Maharashtra
Devdas Apte,BJP,02/07/2002,09/04/2008,1,Jharkhand
Dr. M. Aram,NOM,27/08/1993,24/05/1997,1,Tamil Nadu
Mohammed Usman Arif,INC,03/04/1970,02/04/1976,1,Rajasthan
Mohammed Usman Arif,INC,03/04/1976,02/04/1982,2,Rajasthan
Mohammed Usman Arif,INC,03/04/1982,31/03/1985,3,Rajasthan
Arjun Arora,INC,01/08/1960,02/04/1966,1,Uttar Pradesh
K. R. Arjunan,AIADMK,25/07/2013,24/07/2019,1,Tamil Nadu
Rukmini Devi Arundale,NOM,03/04/1952,02/04/1956,1,Madras
Kumbha Ram Arya,INC,03/04/1960,26/10/1964,1,Rajasthan
Kumbha Ram Arya,INC,03/04/1968,02/04/1974,2,Rajasthan
R.N. Arya,BSP,26/11/1996,25/11/2002,1,Uttar Pradesh
Ashok Siddharth,BSP,05/07/2016,04/07/2022,1,Uttar Pradesh
Kumar Ashwani,BJP,07/07/1980,06/07/1986,1,Bihar
Kumar Ashwani,BJP,07/07/1986,06/07/1992,2,Bihar
Chowdhary Mohammad Aslam,INC,20/06/2006,29/11/2008,1,Jammu & Kashmir
K.B. Asthana,JP,14/07/1977,02/04/1980,1,Uttar Pradesh
Lila Dhar Asthana,INC,03/04/1962,02/04/1968,1,Uttar Pradesh
Ramdas Athawale,RPI,03/04/2014,02/04/2020,1,Maharashtra
Surjit Singh Atwal,INC,03/04/1962,02/04/1968,1,Punjab
Sardar Jagjit Singh Aurora,SAD,05/07/1986,04/07/1992,1,Punjab
S. Austin,AIADMK,30/06/1992,29/06/1998,1,Tamil Nadu
R.D. Jagtap Avergoankar,INC,03/04/1974,02/04/1980,1,Maharashtra
Narasimha Gopalaswami Ayyangar,INC,03/04/1952,10/02/1953,1,Tamil Nadu
Alladi Krishnaswami Ayyar,NOM,03/04/1952,03/10/1953,1,Tamil Nadu
Gandhi Azad,BSP,26/11/1996,25/11/2002,1,Uttar Pradesh
Gandhi Azad,BSP,26/11/2002,25/11/2008,2,Uttar Pradesh
Gandhi Azad,BSP,26/11/2002,25/11/2008,2,Uttar Pradesh
Ghulam Nabi Azad,INC,03/04/1990,03/04/1996,1,Maharashtra
Ghulam Nabi Azad,INC,30/11/1996,29/11/2002,2,Jammu and Kashmir
Ghulam Nabi Azad,INC,30/11/2002,29/11/2008,3,Jammu and Kashmir
Ghulam Nabi Azad,INC,11/02/2009,10/02/2015,4,Jammu and Kashmir
Ghulam Nabi Azad,INC,16/02/2015,15/02/2021,5,Jammu and Kashmir
Maulana Obaidullah Khan Azmi,INC,03/04/1990,02/04/1996,1,Uttar Pradesh
Maulana Obaidullah Khan Azmi,INC,10/04/1996,09/04/2002,2,Jharkhand
Maulana Obaidullah Khan Azmi,INC,10/04/2002,09/04/2008,3,Madhya Pradesh
Shabana Azmi,NOM,26/11/2002,25/11/2008,1,Maharashtra
