Year,Program,Episode,Nominees,Network
2015,Adventure Time,Jake the Brick,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Sorcher and Fred Seibert, executive producers; Pendleton Ward, executive producer/story by; Adam Muto, co-executive producer/story by; Nick Jennings and Kevin Kolde, supervising producers; Kelly Crews, producer; Jack Pendarvis, story by; Kent Osborne, story by/written by/supervising director; Don Judge, timing director; Phil Cummings, Michel Lyman, Jung Yon Kwon, Helen Roh and Barbara Dourmashkin-Case, sheet timing",Cartoon Network
2015,Mickey Mouse,Mumbai Madness,"Paul Rudish, executive producer/written by/directed by; Alonso Ramirez Ramos and Darrick Bachman, written by; Graham MacDonald, animation director",Disney
2015,Regular Show,White Elephant Gift Exchange,"J. G. Quintel, executive producer/writer; Brian A. Miller, Jennifer Pelphrey, Curtis Lelash and Rob Sorcher, executive producers; Mike Roth, supervising producer/writer; Ryan Slater, producer; Benton Connor, Madeline Queripel, Matt Price and Michele Cavin, writers; John Davis Infantino and Sean Szeles, supervising directors/writers; Robert Alvarez, animation director; Hwang Gi-Ho, overseas director",Cartoon Network
2015,Robot Chicken,Chipotle Miserable,"Seth Green and Matthew Senreich, executive producers/written by; Tom Root and Douglas Goldstein, executive producers/head writers; John Harvatine IV, Eric Towner, Keith Crofford and Mike Lazzo, executive producers; Janet Dimon, supervising producer; Ollie Green, producer; Matthew Beans, Mike Fasolo, Rachel Bloom and Brendan Hay, writers; Zeb Wells, written by/directed by; Alex Kamer, animation director",Adult Swim
2015,Steven Universe,Lion 3: Straight To Video,"Rebecca Sugar, executive producer/written by/story by; Rob Sorcher, Curtis Lelash, Brian A. Miller and Jennifer Pelphrey, executive producers; Jackie Buscarino, producer; Joe Johnston, Jeff Liu, Matt Burnett, Ben Levin and Kat Morris, story by; Ian Jones-Quartey, story by/supervising director; Ki-Yong Bae and Sue-Hong Kim, animation directors; Nick DeMayo, animation direction",Cartoon Network
2015,Wander Over Yonder,The Gift 2: The Giftening,"Craig McCracken, executive producer/story by; Francisco Angones and Amy Higgins, story by/written by; Lauren Faust, Ben Joseph and Johanna Stein, story by; Dave Thomas, story by/supervising director; Eddie Trigueros, director",Disney XD
2016,,,,
2016,Robot Chicken,Robot Chicken Christmas Special: The X-Mas United,"Seth Green and Matthew Senreich, executive producers/written by; Tom Root and Douglas Goldstein, executive producers/head writers; John Harvatine IV, Eric Towner, Keith Crofford and Mike Lazzo, executive producers; Janet Dimon, supervising producer; Ollie Green, producer; Mike Fasolo, Shelby Fero and Joel Hurwitz, writers; Tom Sheppard, written by/directed by; Alex Kamer, animation director",Adult Swim
2016,Adventure Time,The Hall of Egress,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Sorcher, Fred Seibert and Pendleton Ward, executive producers; Adam Muto, executive producer/story by; Kevin Kolde, supervising producer; Kelly Crews, producer; Tom Herpich, story by/written by; Kent Osborne, Jack Pendarvis and Ashly Burch, story by; Andres Salaff, supervising director; Don Judge, timing director; Phil Cummings and Michel Lyman, sheet timing",Cartoon Network
2016,The Powerpuff Girls,Once Upon a Townsville,"Nick Jennings, executive producer/directed by; Rob Sorcher, Brian A. Miller, Jennifer Pelphrey and Curtis Lelash, executive producers; Bob Boyle, co-executive producer/directed by; Pernelle A. Hayes, produced by; Haley Mancini, Kyle Neswald, Benjamin P. Carow and Jake Goldman, written by; Julia 'Fitzy' Fitzmaurice, supervising director; Robert Alvarez and Richard Collado, animation directors",Cartoon Network
2016,SpongeBob SquarePants,Company Picnic,"Stephen Hillenburg and Paul Tibbitt, executive producers; Vincent Waller and Marc Ceccarelli, supervising producers; Jennie Monica, producer; Kyle McCulloch and Jack Pendarvis, written by; Alan Smart, animation director/supervising director; Tom Yasumi, animation director",Nickelodeon
2016,Steven Universe,The Answer,"Rebecca Sugar, executive producer/story by; Rob Sorcher, Curtis Lelash, Brian A. Miller and Jennifer Pelphrey, executive producers; Ian Jones-Quartey, co-executive producer/story by; Jackie Buscarino, producer; Lamar Abrams and Katie Mitroff, written by; Matt Burnett, Ben Levin and Kat Morris, story by; Byung Ki Lee, and Nick DeMayo, animation directors; Joe Johnston, supervising director",Cartoon Network
2017,,,,
2017,Adventure Time,Islands Part 4: Imaginary Resources,"Pendleton Ward, executive producer/story by/written by; Fred Seibert, Rob Sorcher, Brian A. Miller, Jennifer Pelphrey and Curtis Lelash, executive producers; Adam Muto, executive producer/story by; Kelly Crews, supervising producer; Graham Falk, written by; Kent Osborne, Jack Pendarvis and Ashly Burch, story by; Elizabeth Ito, supervising director; Lindsey Pollard and Cheolhui Han, animation directors; Michel Lyman, Ken Bruce and Maureen Mlynarczyk, timers",Cartoon Network
2017,Marvel's Rocket & Groot,Space Walk,"Cort Lane, Dan Buckley, Joe Quesada, Alan Fine, Andrew Ruhemann and Marc Bodin-Joyeux, executive producers; Stephen Wacker and Stan Lee, co-executive producers; Cara Speller, produced by; Kevin Burke and Chris Doc Wyatt, written by; Arnaud Delord, directed by",Disney XD App
2017,Mickey Mouse,Split Decision,"Paul Rudish, executive producer/supervising director/writer; Dave Wasson, writer/director; Darrick Bachman, written by; Graham MacDonald, animation director",Disney
2017,Steven Universe,Mr. Greg,"Rebecca Sugar, executive producer/story by; Rob Sorcher, Curtis Lelash, Brian A. Miller and Jennifer Pelphrey, executive producers; Jackie Buscarino, producer; Jeff Liu, written by; Ben Levin, Matt Burnett, Ian Jones-Quartey and Kat Morris, story by; Joe Johnston, supervising director/written by; Nick DeMayo, Ki-Yong Bae and Jin-Hee Park, animation directors; Kimson Albert, Doug Gallery and Maureen Mlynarczyk, sheet timing",Cartoon Network
2017,Teen Titans Go!,Orangins,"Sam Register, executive producer; Aaron Horvath, producer/written by; Michael Jelenic and Peter Rida Michail, producers; Luke Cormican, directed by; Eric J. Pringle, animation director",Cartoon Network
2018,,,,
2018,Robot Chicken,Freshly Baked: The Robot Chicken Santa Claus Pot Cookie Freakout Special: Special Edition,"Seth Green and Matthew Senreich, executive producers/written by; Tom Root and Doug Goldstein, executive producers/head writers; John Harvatine IV, Eric Towner, Keith Crofford and Mike Lazzo, executive producers; Margaret M. Dean, supervising producer; Ollie Green, producer; Nick Cron-DeVico, Deirdre Devlin, Mike Fasolo and Tesha Kondrat, written by; Tom Sheppard, written by/directed by; Alex Kamer, Scott DaRos and Matt Sheldon, animation directors",Adult Swim
2018,Adventure Time,Ring of Fire,"Pendleton Ward, Fred Seibert, Adam Muto, Rob Sorcher, Brian A. Miller, Jennifer Pelphrey and Curtis Lelash, executive producers; Kelly Crews, supervising producer; Tom Herpich and Steve Wolfhard, written by; Kent Osborne, Jack Pendarvis, Julia Pott and Ashly Burch, story by; Cole Sanchez, supervising producer; Lindsey Pollard and Dongkun Won, animation director; Maureen Mlynarczyk, Robert Alvarez and Michel Lyman, sheet timers",Cartoon Network
2018,Steven Universe,Jungle Moon,"Rebecca Sugar, executive producer/story by; Rob Sorcher, Brian A. Miller, Jennifer Pelphrey and Curtis Lelash, executive producers; Jackie Buscarino, producer; Jeff Liu and Miki Brewster, written by; Matt Burnett, Ben Levin and Kat Morris, story by; Joe Johnston, supervising director; Nick DeMayo, Ki-Yong Bae and Sue Hong Kim, animation directors; Kimson Albert and Maureen Mlynarczyk, sheet timing",Cartoon Network
2018,Teen Titans Go!,The Self-Indulgent 200th Episode Spectacular!,"Sam Register, executive producer; Aaron Horvath and Michael Jelenic, executive producers/written by; Peter Rida Michail and Peggy Regan, producers; Ken McIntyre and Dave Stone, directed by; Luke Cormican, supervising director; Eric J. Pringle, animation director",Cartoon Network
2018,We Bare Bears,Hurricane Hal,"Daniel Chong, Rob Sorcher, Brian A. Miller, Jennifer Pelphrey and Curtis Lelash, executive producers; Carrie Wilksen, producer; Randy Myers, supervising producer; Sang Yup Lee and Louie Zong, written by; Mikey Heller, story by; Manny Hernandez, supervising director; Robert Alvarez, Kevin Petrilak and Sechang Kwak, animation directors",Cartoon Network
2019,,,,
2019,"Love, Death & Robots",The Witness,"David Fincher, Tim Miller, Jennifer Miller and Joshua Donen, executive producers; Victoria Howard, supervising producer; Gennie Rim, producer; Alberto Mielgo, written by/directed by; Gabriele Pennacchioli, supervising director",Netflix
2019,Robot Chicken,Why Is It Wet?,"Seth Green and Matthew Senreich, executive producers/written by; John Harvatine IV, Eric Towner, Keith Crofford and Mike Lazzo, executive producers; Tom Root and Doug Goldstein, executive producers/head writers; Margaret M. Dean, supervising producer; Ollie Green, producer; Mike Fasolo, Kiel Kennedy, Michael Poisson and Ellory Smith, written by; Tom Sheppard, written by/directed by; Alex Kamer, animation director; Scott DaRos, co-animation director; Matt Sheldon, assistant director",Adult Swim
2019,SpongeBob SquarePants,Plankton Paranoia,"Stephen Hillenburg, executive producer; Marc Ceccarelli and Vincent Waller, supervising producers; Jennie Monica, produced by; Luke Brookshier, written by; Adam Paloian and Alan Smart, supervising directors; Tom Yasumi, animation director",Nickelodeon
2019,Steven Universe,Reunited,"Rebecca Sugar, executive producer/story by; Rob Sorcher, Brian A. Miller, Jennifer Pelphrey and Curtis Lelash, executive producers; Jackie Buscarino, producer; Paul Villeco, Katie Mitroff, Jeff Liu and Miki Brewster, written by; Matt Burnett, Ben Levin, Kat Morris and Tom Herpich, story by; Joe Johnston, story by/supervising director; Nick DeMayo, animation director; Kimson Albert and Maureen Mlynarczyk; sheet timing",Cartoon Network
2019,Teen Titans Go!,Nostalgia Is Not a Substitute for an Actual Story,"Sam Register, Aaron Horvath and Michael Jelenic, executive producers; Peter Rida Michail and Peggy Regan, producers; Amy Wolfram, written by; James Krenzke, directed by; Luke Cormican, supervising director; Eric J. Pringle, animation director",Cartoon Network
