List,Electoral district,Votes,% nationwide,% of electoral district,Candidates,Members elected,Parties
Uprise... for Sovereignty for Justice,North II,14181,0.75,10.0,9.0,1.0,17 October revolution
Akkar the Change,North I,14145,0.75,9.61,7.0,0.0,17 October revolution
Our North,North III,14121,0.75,11.64,10.0,1.0,17 October revolution
Our Unity in Saida and Jezzine,South I,13948,0.74,22.99,4.0,2.0,LF-Pro-Siniora
Loyalty to Akkar,North I,13619,0.72,9.26,7.0,0.0,Azm-Independents
"Beirut, We are for Her",Beirut I,13220,0.7,28.55,6.0,2.0,LF-Hunchak
Baabda the Change,Mount Lebanon III,13201,0.7,15.7,5.0,0.0,17 October revolution-NB
Popular Bloc,Bekaa I,12064,0.64,13.13,6.0,0.0,Popular Bloc
Rising up for Akkar,North I,11885,0.63,8.08,7.0,0.0,Independents
Moderation is our Force,South I,11719,0.62,19.32,3.0,0.0,Amal-Independents
Towards Statehood,Mount Lebanon II,11555,0.61,12.48,5.0,0.0,MMFD-17 October revolution
Our Plain and the Mountain,Bekaa II,11397,0.6,17.39,5.0,1.0,17 October revolution
Freedom is a Decision,Mount Lebanon I,11292,0.6,9.59,6.0,0.0,Independents
Lebanon the Sovereignty,Beirut I,11271,0.6,24.34,8.0,2.0,Kataeb-Independents
We were... and staying for Beirut,Beirut I,10950,0.58,23.65,8.0,2.0,FPM-Tashnag
Together for Change,South II,10061,0.53,6.25,7.0,0.0,LCP-17 October revolution
Together for Saida and Jezzine,South I,9846,0.52,16.23,5.0,0.0,FPM-Independents
For My Country,Beirut I,8261,0.44,17.84,8.0,2.0,17 October revolution
Zahle Uprises,Bekaa I,7713,0.41,8.4,5.0,0.0,17 October revolution
Embracing State,South II,7405,0.39,4.6,4.0,0.0,Independents
Nation's Sovereignty,Mount Lebanon IV,6082,0.32,3.41,9.0,0.0,JI-Independents
Coalition for Change,Bekaa III,5633,0.3,2.97,9.0,0.0,17 October revolution
Our Bekaa First,Bekaa II,5316,0.28,8.11,5.0,0.0,LF-Independents
The Free Decision,South II,5240,0.28,3.26,3.0,0.0,Independents
Baabda Uprises,Mount Lebanon III,5010,0.26,5.96,4.0,0.0,Independents
We are the Change,South I,4919,0.26,8.11,5.0,0.0,17 October revolution
Your Voice is Revolution,Mount Lebanon IV,3438,0.18,1.92,10.0,0.0,Civil society
Third Republic,North II,3318,0.18,2.34,9.0,0.0,Civil society
Towards Citizenship,North I,3154,0.17,2.14,6.0,0.0,LCP-MMFD
Independents against Corruption,Bekaa III,2819,0.15,1.49,9.0,0.0,Independents
To Preserve Beirut,Beirut II,2387,0.13,1.62,9.0,0.0,Bahaa Hariri Bloc
We are Able,Bekaa III,1937,0.1,1.02,4.0,0.0,MMFD
We are Able,Mount Lebanon I,1926,0.1,1.64,4.0,0.0,MMFD
We are Able,North II,1839,0.1,1.3,6.0,0.0,MMFD
We are Able,Beirut II,1797,0.09,1.22,6.0,0.0,MMFD
We are the Change,Mount Lebanon I,1681,0.09,1.43,5.0,0.0,17 October revolution
We are Able,Mount Lebanon IV,1596,0.08,0.89,6.0,0.0,MMFD
We are Able,Beirut I,1510,0.08,3.26,4.0,0.0,MMFD
Clans and Families for Development,Bekaa III,1491,0.08,0.79,6.0,0.0,Independents
The Change,Bekaa I,1440,0.08,1.57,5.0,0.0,Independents
Akkar Uprises,North I,1371,0.07,0.93,5.0,0.0,17 October revolution
We are able to face,Bekaa I,1316,0.07,1.43,4.0,0.0,MMFD
Stability and Development,North II,1306,0.07,0.92,10.0,0.0,Bahaa Hariri Bloc
We are Able (South I},South I,1128,0.06,1.86,4.0,0.0,MMFD
Beirut My City,Beirut I,1089,0.06,2.35,5.0,0.0,17 October revolution
We are able to Change,North III,974,0.05,0.8,6.0,0.0,MMFD-LCP
We are Able,Mount Lebanon III,952,0.05,1.13,3.0,0.0,MMFD
Voice of the South,South III,952,0.05,0.41,5.0,0.0,Independents
We are the Change,Mount Lebanon III,766,0.04,0.91,3.0,0.0,17 October revolution
Dawn of Change,North II,672,0.04,0.47,7.0,0.0,Independents
Sovereignists Metnists,Mount Lebanon II,667,0.04,0.72,7.0,0.0,17 October revolution-Independents
We are Able,Bekaa II,653,0.03,1.0,4.0,0.0,MMFD
The Mountain Uprises,Mount Lebanon IV,491,0.03,0.27,8.0,0.0,17 October revolution-Independents
Together We Can,Mount Lebanon III,417,0.02,0.5,6.0,0.0,Independents
Beirut My City,Beirut II,358,0.02,0.24,6.0,0.0,17 October revolution
Talk and Action,Bekaa I,332,0.02,0.36,5.0,0.0,Independents
Voice of Change,South I,324,0.02,0.53,3.0,0.0,Independents
Yes to Beirut,Beirut II,250,0.01,0.17,6.0,0.0,Independents
Wake Your Voice,North III,230,0.01,0.19,5.0,0.0,Independents
Towards Change,Bekaa II,192,0.01,0.29,4.0,0.0,Kataeb-Independents
Youth's Ambition,North II,79,0.01,0.06,5.0,0.0,Independents
Blank votes,,19308,1.02,,,,
Total,,1893983,100.0,,719.0,128.0,
