Catalogue number,Year,Artist,Title
BN-LA 483-H2,,Jackie McLean,Hipnosis
BN-LA 485-H2,1975.0,Herbie Nichols,The Third World
BN-LA 488-H2,,Booker Ervin,Back from the Gig
BN-LA 496-H2,,Freddie Hubbard,Here to Stay
BN-LA 506-H2,,Elvin Jones,The Prime Element
BN-LA 507-H2,1975.0,Fats Navarro,Prime Source
BN-LA 519-G,1975.0,Gene Harris,Nexus
BN-LA 520-H2,1975.0,Chico Hamilton,Peregrinations
BN-LA 521-H2,1975.0,Johnny Griffin / John Coltrane / Hank Mobley,Blowin' Sessions
BN-LA 529-H2,1975.0,Paul Horn,Paul Horn in India
BN-LA 530-H2,1975.0,The Jazz Crusaders,The Young Rabbits
BN-LA 531-H2,1975.0,Wes Montgomery,Beginnings
BN-LA 532-H2,1975.0,Gerry Mulligan / Lee Konitz,Revelation
BN-LA 533-H2,1975.0,T-Bone Walker,Classics of Modern Blues
BN-LA 534-G,1975.0,Jimmy Witherspoon,Spoonful
BN-LA 541-G,1975.0,John Lee / Gerry Brown,Mango Sunrise
BN-LA 549-G,1975.0,Donald Byrd,Places and Spaces
BN-LA 550-G,1975.0,Bobbi Humphrey,Fancy Dancer
BN-LA 551-G,1975.0,Bobby Hutcherson,Montara
BN-LA 579-H2,1976.0,Thelonious Monk,The Complete Genius
BN-LA 581-G,1976.0,Horace Silver,Silver 'n Wood
BN-LA 582-J2,,Lee Morgan,The Procrastinator
BN-LA 584-G,1976.0,Alphonse Mouzon,The Man Incognito
BN-LA 590-H2,1976.0,Milt Jackson,All Star Bags
BN-LA 591-H2,1976.0,Art Pepper,Early Art
BN-LA 596-G,1976.0,Earl Klugh,Earl Klugh
BN-LA 598-H2,1976.0,Randy Weston,Little Niles
BN-LA 606-G,1976.0,Marlena Shaw,Just a Matter of Time
BN-LA 615-G,1976.0,Bobby Hutcherson,Waiting
BN-LA 622-G,1976.0,Chico Hamilton,Chico Hamilton and the Prayers
BN-LA 628-H,1976.0,Ronnie Laws,Fever
BN-LA 632-H2,1976.0,Jean-Luc Ponty,Cantaloupe Island
BN-LA 633-G,1976.0,Donald Byrd,Caricatures
BN-LA 634-G,1976.0,Gene Harris,In a Special Way
BN-LA 635-G,1976.0,Carmen McRae,Can't Hide Love
BN-LA 636-G,1976.0,Eddie Henderson,Heritage
BN-LA 645-G,1976.0,Barbara Carroll,Barbara Carroll
BN-LA 663-J2,1976.0,Various artists,Blue Note Live at the Roxy
BN-LA 664-G,,Robbie Krieger,Robbie Krieger and Friends
BN-LA 667-G,1976.0,Earl Klugh,Living Inside Your Love
BN-LA 690-J2,,War,Platinum Jazz
BN-LA 699-G,1976.0,,Bobbi Humphrey's Best
BN-LA 700-G,1976.0,,Donald Byrd's Best
BN-LA 701-G,1976.0,John Lee / Gerry Brown,Still Can't Say Enough
BN-LA 708-G,1977.0,Horace Silver,Silver 'n Voices
BN-LA 709-H2,1977.0,Carmen McRae,Carmen McRae at the Great American Music Hall
BN-LA 710-G,1977.0,Bobby Hutcherson,The View from the Inside
BN-LA 711-G,1977.0,Willie Bobo,Tomorrow Is Here
BN-LA 730-H,1977.0,Ronnie Laws,Friends & Strangers
BN-LA 736-H,1977.0,Noel Pointer,Phantazia
BN-LA 737-H,1977.0,Earl Klugh,Finger Paintings
BN-LA 738-G,1977.0,Maxi Anderson,Maxi
BN-LA 760-H,1977.0,Gene Harris,Tone Tantrum
BN-LA 789-G,1977.0,Bobby Hutcherson,Knucklebean
BN-LA 819-H,1977.0,Rico Rodriguez,Man from Wareika
BN-LA 853-H,1978.0,Horace Silver,Silver 'n Percussion
BN-LA 870-H,1978.0,Various artists,Blue Note Meet the L.A. Philharmonic
BN-LA 882-J2,1978.0,Chick Corea,Circulus
BN-LA 883-J2,1978.0,Stanley Turrentine,Jubilee Shout!!!
BN-LA 945-H,1979.0,Horace Silver,Sterling Silver
