Name of Village,Gram Panchayat,Nearest town
Balpur Patti Ehatmali,Kharuwa Mustqil,Pilibhit
Balpur Patti Mustqil,Kharuwa Mustqil,Pilibhit
Balrampur J Ranmustpur,Balrampur J Ranmustpur,Puranpur
Bamanpura Bhagirath,Bamanpura Bhagirath,Puranpur
Bamrauli,Bamrauli,Bilsanda
Banausa,Banausa,Pilibhit
Banda,Mania,Pilibhit
Bandarbojh,Bandar Bhoj,Pilibhit
Bangar,Bagar,Pilibhit
Bangla Urf Mitrasen,Bangla Urf Mitrasen,Pilibhit
Banjar Ganj,,Puranpur
Banjaria,Banjaria,Puranpur
Banjaria Jamunia,Jamunia,Pilibhit
Banjaria Kallu,Niwar Aithpur Mustqil,Pilibhit
Bans Bojhi,Dilawarpur,Puranpur
Banskhera,Banskhera,Jahanabad
Bar Nawada,Bar Nawada,Pilibhit
Baradunwa,Baradunwa,Jahanabad
Baragaon,Baragaon,Pilibhit
Barahi,Barahi,Pilibhit
Barat Bojh,Barat Bojh,Pilibhit
Bargada,Dandia Raji,Pilibhit
Bargadia,Jagatpur,Pilibhit
Barha,Barha,Pilibhit
Barha Vikram,Barha Vikram,Pilibhit
Barhaini,Birhani,Sitarganj
Barhaiya,Barha Vikram,Pilibhit
Barhepura,Barhepura,Sitarganj
Barhepura Gharam,Gobal Patipura,Pilibhit
Barhepura Marauri,Barhepura Marauri,Bilsanda
Barhepura T Kusma,Barhepura T Kusma,Bisalpur
Bari Bhujia,Haripur T Chandpur,Puranpur
Barkhara,Bhikampur Urf Pranpur,Pilibhit
Barkhari,Bhikampur Urf Pranpur,Bisalpur
Barkhera Kata,Benipur,Pilibhit
Barkhera T Pasgawan,Barkhera T Pasgawan,Bisalpur
Barkhera Yasin,Purainia Ramgulam,Bisalpur
Barramak,Barramau,Bisalpur
Barsi Baley Urf Barsia,Barsi Baley Urf Barsia,Bisalpur
Barua Kuthara,Maini Gulria,Pilibhit
Basai Pureina,Basai Pureina,Pilibhit
Basantpur,Basantpur,Pilibhit
Basantpur Mustqil,,Pilibhit
Basantpur Nauner,Barahi,Pilibhit
Basantpur Sahraee,Basantapur Mustqil,Pilibhit
Basara,Uganpur Marori,Bisalpur
Basola,Nagariya Tulagiri,Bilsanda
Basuiya Khas,Ahirwara Must,Bisalpur
Basupur,Basupur,Pilibhit
Bauni,Bauni,Pilibhit
Baurakh,Tanda Bijaisi Sahrai,Pilibhit
Bautha,Jamuniya J Jagatpur,Pilibhit
Behari Mustqil,Behari Mustqil,Pilibhit
Behri Ehatmali,Behari Mustqil,Pilibhit
Behta,Behta,Bilsanda
Behti,Behti,Bilsanda
Bela Pokhra,Bharatpur,Nyoria Husainpur
Belabhaur Ehatmali,Uganpur,Pilibhit
Belabhaur Mustqil,Uganpur,Pilibhit
Belapokhra,Birhani,Majhola
Benipur,Benipur,Pilibhit
Bera,Bera,Pilibhit
Bhadeg Kanja,Bhadeg Kanja,Pilibhit
Bhadera,Bhadera,Pilibhit
Bhaderi,Bhadera,Pilibhit
Bhadsara,Udara,Gularia Bhindara
Bhaga Mohammadganj Ehatmali,Bhaga Mohammadganj Mustqil,Pilibhit
Bhaga Mohammadganj Mustqil,Bhaga Mohammadganj Mustqil,Pilibhit
Bhagautipur,Bhgautipur,Pilibhit
Bhagautipur,Bilandpur Ashok,Puranpur
Bhagawantpur Karor Ehat,Abhaipur Chaina Nakti,Pilibhit
Bhagawantpur Karor Must,Abhaipur Chaina Nakti,Pilibhit
Bhagawantpur T Kajar Bojhi,Lucknow Kalan,Pilibhit
Bhagawantpur T Kuluhagarha,Kadher Chaura T Gajraula,Pilibhit
Bhagawantpur Urf Bhimpur,Parsadpur,Puranpur
Bhagawatipur Dhura,Jithania,Pilibhit
Bhagawatipur Kasba,Barat Bojh,Jahanabad
Bhagi Dandi,Bhagi Dandi,Jahanabad
Bhagtania,Bhindara,Pilibhit
Bhagvantpur Bajhera,Bhagvantpur Bajhera,Lalauri Khera
Bhagwantpur M Karobojh,Simraya T Ghungchihai,Pilibhit
Bhagwantpur T Ghunchai,Shahbajpur,Puranpur
Bhainsana Gwalpur Ehatmali,Bhainsana Gwalpur Must,Bisalpur
Bhainsana Gwalpur Must,,Pilibhit
Bhainshai Parvatpur,Jagipur Jaitpur,Pilibhit
Bhair Puri,Lucknow Kalan,Bisalpur
Bhairo Kalan,Bhairo Kalan,Pilibhit
Bhairo Khurd,Bhairo Kalan,Pilibhit
Bhaisaha,Barhepura,Pilibhit
Bhaisaha Ehatmali,Sathrapur Mu,Pilibhit
Bhaisaha Mustqil,Sathrapur Mu,Pilibhit
Bhaisasur,Simra T Ghunchai,Puranpur
Bhaista Jalalpur,Musaili Mustqil,Pilibhit
Bhamaura,Bhamaura,Nyoria Husainpur
Bhan Bojhi,Jamuniya J Jagatpur,Pilibhit
Bhan Dandi,Bhan Dandi,Pilibhit
Bhanpur,Bhanpur,Jahanabad
Bhara Pachpera,Birhani,Gularia Bhindara
Bharara,Maini Gulria,Pilibhit
Bharari,Maini Gulria,Pilibhit
Bharatpur,Bharatpur,Nyoria Husainpur
Bharatpur,Bharatpur,Puranpur
Bhasunda,Bhasunda,Pilibhit
Bhatta Khera,Biharipur J Itauria,Pilibhit
Bhauna,Bhauna,Jahanabad
Bhauni,Bhauni,Pilibhit
Bhaurua,Rajpur Kandari,Pilibhit
Bhavsi,Baijunagar,Puranpur
Bhawaniganj,Kabirpur Kasganja,Pilibhit
Bhawanipur T Gajraula,Dharampur Khurd,Pilibhit
Bhawanipur T Ghunchai,Matena Taluke Ghunchai,Puranpur
Bhaypur,Churra Sakatpur,Pilibhit
Bhaypur,Bhaypur,Puranpur
Bhgawantpur T Kareli,Pipria Singhipur,Pilibhit
Bhikampur,Loharpura,Pilibhit
Bhikampur Urf Pranpur,Bhikampur Urf Pranpur,Pilibhit
Bhikharipur,Bhikharipur,Pilibhit
Bhilaiya Gaon Khera,Bhilaiya Gaon Khera,Pilibhit
Bhimpur Naugaja,Bhimpur Naugaja,Pilibhit
Bhindara,Bhindara,Pilibhit
Bhitera,Bhitera,Bisalpur
Bhogapur,Sukatia Jaskaranpur,Pilibhit
Bhooda Sarainda Mustqil,Bhooda Sarainda Mustqil,Pilibhit
Bhooda Sarainda Sahrai,Bhoorda Sarainda Saha,Pilibhit
Bhoora,Nagariya Tulagiri,Bilsanda
Bhoora,Bhura,Pilibhit
Bhoora Gorakh Dibbi,Nagria Khurd Kalan,Pilibhit
Bhopatpur,Bhopatpur,Pilibhit
Bhopatpur,Bhopatpur,Pilibhit
Bhura,Aliapur,Majhola
Bhuria Ramchandra,Tanda Bijaisi Sahrai,Pilibhit
Bichpuri T Int Gaon,Dhan Gawan,Pilibhit
Bichpuri T Jogi Ther,Parasiram Kishan,Bisalpur
Bidhipur,Vidhipur,Puranpur
Biharipur,Tanda Bijaisi Sahrai,Pilibhit
Biharipur Heera,Biharipur Heera,Pilibhit
Biharipur J Itauria,Biharipur J Itauria,Puranpur
Biharipur Kamirkha,Biharipur Kamirkha,Bisalpur
Biharipur Khurd,Hempur,Pilibhit
Biharipur M Rampur Fakire,Rampur Fakire,Pilibhit
Bijauri Khurd Kalan,Dhuria Paliya,Pilibhit
Bijulha,Abhaipur M Shahgarh,Pilibhit
Bilai Pasiapur,,Jahanabad
Bilaiya Makranpur,Pandri Marauri,Pilibhit
Bilandpur Ashokpur,Bilandpur Ashok,Puranpur
Bilaspur,Bilaspur,Bilsanda
Bilaspur,Bilaspur,Pilibhit
Bilganwa,Bilganwa,Pilibhit
Bilhara Mafi,Fulaieya,Pilibhit
Bilhari,Bilhari,Pilibhit
Binaur,,Pilibhit
Binaura Khas T Madho Tanda,Kapoorpur,Puranpur
Binaura T Gajraula,Grant No21 Urf Dhakkachat,Puranpur
Bindhuwa,Bindua,Jahanabad
Birahampur,Piparia Majhara,Puranpur
Birampur,Pandria,Puranpur
Biriya,Imalia Marauri,Pilibhit
Birkhera T Madhau Tanda,Bhimpur Naugaja,Pilibhit
Birkhera T Maharajpur,Dhuria Paliya,Puranpur
Birsinghpur,Bahadia,Pilibhit
Bishanpur Ehatmali,Fardia,Pilibhit
Bishanpur Mustaqil,Fardia,Pilibhit
Bitaunia Kalan,Sukhdaspur Navadia,Pilibhit
Bitaunia Khurd,Sukhdaspur Navadia,Pilibhit
Bithaura Kalan,Bithaura Kalan,Pilibhit
Bithaura Khurd,Bithaura Khurd,Nyoria Husainpur
Bithra,Bithra,Pilibhit
Bodi Bhoor,Bodi Bhoor,Pilibhit
Budhauli,Budhauli,Bisalpur
Budhaulia,Galra Machwapur,Pilibhit
Buhita,Buhita,Bisalpur
Burhia J Itauria,Burhia J Itauria,Pilibhit
Chahlora,Chahlora,Pilibhit
Chak Sidhpur,Jadopur Patti,Pilibhit
Chaka,Chaka,Pilibhit
Chakora,Kajari Niranjanpur,Pilibhit
Chakpur T Ajitpur Bilha,Simra T Ghunchai,Puranpur
Chakpur T Anandpur,Dhakia Kesharpur,Pilibhit
Chand Dandi,Chand Dandi,Pilibhit
Chandia Hajara,Chandia Hajara,Puranpur
Chandoi,Chandoi,Pilibhit
Chandokha,Ajeetpur Vilah,Pilibhit
Chandpur,Kalyanpur T Kareli,Bisalpur
Chandpur,Chandopur,Pilibhit
Chandpura,Chandpura,Bisalpur
Chandpura Tarai,Dhuria Paliya,Pilibhit
Chandra Nagar,Ramnagar,Puranpur
Chanduiya,Sherpur Makrandpur,Puranpur
Chant Firojpur,Chant Firojpur,Puranpur
Chaprua Kuiya,Chaprua Kuiya,Bilsanda
Charkhaula,Charkhaula,Pilibhit
Chat Dang,Chat Dang,Pilibhit
Chathia Nyaz,Chatiya Niyaz Ahmad,Pilibhit
Chathia Sewaram,Chathia Sewaram,Pilibhit
Chathiya Hilgi,Chatiya Hilgi,Bilsanda
Chatipur,Chatipur,Puranpur
Chaturbhojpur,Karnapur,Pilibhit
Chaukhandi,Barsi Baley Urf Barsia,Pilibhit
Chaura Khera,Chura Khera,Pilibhit
Chausar Hardopatti Ehat,Chausar Hardopatti Must,Pilibhit
Chausar Hardopatti Must,Chausar Hardopatti Must,Bisalpur
Chausar Pandia,Kasimpur,Pilibhit
Chausara,Chausara,Bisalpur
Chidaiyadeh,Chidaiyadeh,Pilibhit
Chinaura Ehatmali,Chinaura Mustqil,Pilibhit
Chinaura Mustqil,Chinaura Mustqil,Pilibhit
Chintapur,Ghanshyampur,Bilsanda
Chitarpur,Bhimpur Naugaja,Pilibhit
Chithiya Bhaisaha,Chithiya Bhaisaha,Jahanabad
Chudaila,Piparia Bhaja,Pilibhit
Churra Sakatpur,Churra Sakatpur,Bisalpur
Chutkuna,Chutkuna,Bisalpur
Dabka,Barhepura,Sitarganj
Daga,Daga,Pilibhit
Dahgala,Dahgala,Pilibhit
Dalelpur,Kabirpur Kasganja,Pilibhit
Dalippur Itauria,Abhaipur Madhopur,Puranpur
Damgarhi Miyuna,Nadha T Madho Tanda,Pilibhit
Damupura,Andha,Bisalpur
Dandia,Dandiya,Pilibhit
Dandia Bhagat,Dandia Bhagat,Pilibhit
Dandia Bhasaudi,Dandia Bhasaudi,Pilibhit
Dandia Lachchhi,Patrasia,Bisalpur
Dandia Raji,Dandia Raji,Bisalpur
Dandol,Matena Taluke Ghunchai,Pilibhit
Dang,Dang,Pilibhit
Dateli,Abhaipur Madhopur,Pilibhit
Daulapur,Lakha Khas,Pilibhit
Daulatganj Ehatmali,Kharuwa Mustqil,Pilibhit
Daulatganj Mustqil,Kharuwa Mustqil,Pilibhit
Daulatpur Heera,Daulatpur Heera,Bisalpur
Daulatpur Patti,Daulatpur Patti,Pilibhit
Daulatpur Ta Chandpur,,Pilibhit
Dayalpur,Dayalpur,Pilibhit
Deen Nagar Khujha,Aaraji Bhorakh,Nyoria Husainpur
Dehrum Mandria Mustqil,Dehrum Mandria Mustqil,Pilibhit
Deohana,Deohana,Pilibhit
Deokalia,Bhainpura,Pilibhit
Deoni Kesharpur,Dioni Kesharpur,Pilibhit
Deora,Mosepur Kalan,Pilibhit
Deorajpur,Deorajpur,Bisalpur
Deorania,Deorania,Gularia Bhindara
Deori,Deori,Pilibhit
Deoria Kalan,Deoria Kalan,Pilibhit
Deoria Khurd,Mirpur Harraipur,Bilsanda
Desh Nager,Desh Nager,Pilibhit
Devipur,Devipur,Pilibhit
Devipura,Saraura,Pilibhit
Dhak Riya,Nagra Rata,Bisalpur
Dhaka J Puranpur,Dhaka Ja Puranpur,Pilibhit
Dhakia Badlu,Dhakiya Badlu,Pilibhit
Dhakia Jalalpur,Dhakia Jalalpur,Bilsanda
Dhakia Kesharpur,Dhakia Kesharpur,Pilibhit
Dhakia Natha,Dhakia Natha,Jahanabad
Dhakia Ranjeet,Gajraula,Pilibhit
Dhakia T Maharajpur,Nagria Khurd Kalan,Pilibhit
Dhakiya Mahak,Pakria Mangli,Pilibhit
Dhakwara,Dhakbara,Pilibhit
Dhamela Dhamali,,Nyoria Husainpur
Dhan Gawan,Dhan Gawan,Bisalpur
Dhanega,Dhanega,Pilibhit
Dhankuna,Dhankuna,Pilibhit
Dhankuni,Dhankuni,Pilibhit
Dhar Bargada,,Pilibhit
Dharampur Kalan,Dharampur Khurd,Puranpur
Dharampur Khurd,Dharampur Khurd,Puranpur
Dharlia,Puraina,Pilibhit
Dharmangadbad,Dharmangadpur,Pilibhit
Dheram,Dheram,Pilibhit
Dherum Mandria Sahrai,Dheram Mandariya Saha,Pilibhit
Dhimerpura,Chathia Sewaram,Bisalpur
Dhuksi Ehatmali,,Pilibhit
Dhuksi Mustqil,Dhuksi Mustqil,Pilibhit
Dhundhari,Dhundhari,Jahanabad
Dhuri Khurd,Makrandpur Roshan Singh,Bisalpur
Dhuria,Dhuria Paliya,Pilibhit
Dhuriya Khurd,Kalyanpur T Kareli,Pilibhit
Dilawarpur,Dilawarpur,Pilibhit
Din Nagar,Kallia,Pilibhit
Dinarpur,Dinarpur,Jahanabad
Diuni Bahadurganj,Diyoni Bhadurganj,Pilibhit
Diura,Maanpur Hatua,Pilibhit
Diyoni,Bhura,Majhola
Dodpur Khallapur,Dodpur Khallapur,Pilibhit
Dudhia Kalan,Dudhia Khurd,Puranpur
Dudhia Khurd,Dudhia Khurd,Pilibhit
Dugipur Bara Gaon,Kitnapur,Bisalpur
Dulhapur,Sultanpur,Puranpur
Dunda,Jamuniya J Jagatpur,Puranpur
Durjanpur Kalan,Durjanpur Kalan,Pilibhit
Faijullaganj,Maini Gulria,Pilibhit
Faizullaganj Urf Karela,Sherganj Dharmangadpur,Pilibhit
Fajilpur,Navdia Dhanesh,Pilibhit
Fardia,Fardia,Pilibhit
Faridpur Bara,Majhalia Mustqil,Jahanabad
Faridpur Hasan,Udara,Gularia Bhindara
Fatepur Khurd,,Puranpur
Fattepur,Fatepur Khurd,Pilibhit
Fazilpur Urf Raipur,Pasgawan,Bisalpur
Fulaiya,Gidhaur,Majhola
Gabhia Sahrai,Gabhia Sahrai,Pilibhit
Gadihar,Fatepur Khurd,Pilibhit
Gadyana,Bilhari,Puranpur
Gagnapur,Gidhaur,Majhola
Gahluia,Gahluia,Jahanabad
Gahluiya,Panchpera Purna,Bisalpur
Gahluiya,Jadaupur,Pilibhit
Gaibojh,Gayabhoj,Pilibhit
Gairatpur Jabti,Gairatpur Japti,Puranpur
Gajhera,Gajhera,Pilibhit
Gajheri,Gajheri,Pilibhit
Gajna Sidharpur,Gajna Sindharpur,Bisalpur
Gajraula,Jagat,Pilibhit
Gajraula,Gajraula,Pilibhit
Gajraula Kalan,Shahgarh,Pilibhit
Gajraula Kalan Mustqil,Gajrola Kala,Pilibhit
Gajraula Kalan Saharai,Gajraula Kalan Saharai,Pilibhit
Gajraula Khas,Gajraula Khas,Puranpur
Gajraula Khurd,Shahgarh,Pilibhit
Gajraulla Jabti,Kalyanpur,Puranpur
Galra Machwapur,Galra Machwapur,Pilibhit
Gangupur,Gangupur,Bisalpur
Ganjraha,Maseet,Bisalpur
Garha Kalan,Garha Kalan,Pilibhit
Garha Khurd,Navadia Durjanpur,Pilibhit
Garha Range,,Puranpur
Garibpur,Ajeetpur Vilah,Puranpur
Garwa Khera,Haripur T Chandpur,Pilibhit
Gauhania,Gauhania,Bilsanda
Gauhania,Gauhania Marori,Pilibhit
Gauhar,Gauhar,Nyoria Husainpur
Gaunera,Gaunera,Pilibhit
Gauneri Badi,Gauneri Badi,Jahanabad
Gauneri Dan,Gauneri Dan,Pilibhit
Gaura,Gaura,Pilibhit
Gautam Nagar,Vijai Nagar,Puranpur
Gazipur,Gazipur,Pilibhit
Gazipur Kunda,Gazipur Kunda,Bisalpur
Ghanshyampur,Ghanshyampur,Bilsanda
Ghanshyampur,Ajeetpur Vilah,Puranpur
Ghatampur,Shahbajpur,Puranpur
Ghoorkoni,Dinarpur,Jahanabad
Ghung Chaiya,Ghung Chaiya,Ghughchaiya
Ghungchihai,Ghungchihai,Puranpur
Ghunghaura,Ghunghaura,Pilibhit
Ghuri Khas,Ghuri Khas,Bisalpur
Ghuri Patti,Ghuri Khas,Pilibhit
Gidhaur,Gidhaur,Majhola
Gobal Patipura,Gobal Patipura,Pilibhit
Goharpur,Sindhaura Kharagpur,Bilsanda
Goonchh,Goonchh Onch,Jahanabad
Gopal Nagar,Gular Bojh,Sitarganj
Gopalpur,,Bilsanda
Gopalpur,Gopalpur,Puranpur
Govindpur Mohanpur,Navadia Durjanpur,Puranpur
Grant No16 Urf Rampur,Tanda Chhatrapati,Pilibhit
Grant No17 Urf Gurbaxpur,Abhaipur J Jagatpur,Pilibhit
Grant No1urf Banganj,Grant No1urf Banganj,Pilibhit
Grant No2 Urf Bishanpur,,Pilibhit
Grant No21 Urf Dhakkachat,Grant No21 Urf Dhakkachat,Puranpur
Gulalpur Khamaria,Bagar,Pilibhit
Gular Bojh,Gular Bojh,Jahanabad
Gularhai,Narainpur Ghunchai,Pilibhit
Gularia,Gularia Bhoopsingh,Pilibhit
Gularia Bhindara,,Pilibhit
Gularia Bithra,Bharatpur,Pilibhit
Gularia Dulhan,Gulariya Dulhan,Pilibhit
Gularia Jafarpur,Guriya Gafarpur,Pilibhit
Gularia Marauri,Harunagar Urf Naua Nagla,Pilibhit
Gularia Radhey,Badhera,Bisalpur
Gularia Sakatpur,Amarganj Mustqil,Jahanabad
Gulenda Gautia,Gulenda Gautia,Pilibhit
Gulraha,Bhawaniganj,Puranpur
Gulrahai,Patihan,Pilibhit
Gulria Khas,Gulariya Khaas,Pilibhit
Gulria M Balkaranpur,Bhairo Kalan,Pilibhit
Gulria M Khata,Raghunathpur,Pilibhit
Gulria Mashmula Kasba,Kasimpur,Bisalpur
Gulria T Sujnee,Sujnee,Pilibhit
Gunhan,Ramnagra,Pilibhit
Gurchaha,,Puranpur
Gurdah,Karnapur,Pilibhit
Guteha,Guteha,Pilibhit
Gyaspur,Gobal Patipura,Pilibhit
Hafiznagar Banhai,Hafiznagar Banhai,Bisalpur
Haidarabad,Saddarpur,Pilibhit
Haldi Denga,Daga,Pilibhit
Hameerpur,Hameerpur,Pilibhit
Handa,Handa,Pilibhit
Har Raipur,Har Raipur,Pilibhit
Haraiya Urf Harkiswan Pur,Haraiya Urf Harkiswan Pur,Pilibhit
Harchuia,Harchuia,Pilibhit
Hardaspur,Hardaspur,Majhola
Hargaon,Malahpur Khajuria,Pilibhit
Harharpur,Chatiya Hilgi,Bilsanda
Harharpur Dhura,Gular Bojh,Jahanabad
Harharpur Hasan,Harharpur Hasan,Pilibhit
Haripur,,Puranpur
Haripur Kalan,Haripur Kalan,Puranpur
Haripur M Jatpura,Jatpura,Pilibhit
Haripur M Phulhar,Haripur M Phulhar,Pilibhit
Haripur T Ajitpur Bilha,Shahbajpur,Puranpur
Haripur T Chandpur,Haripur T Chandpur,Pilibhit
Haripur Udaipur,Haripur Kalan,Puranpur
Harkishanpur,Rura Ramnagar,Pilibhit
Harrai,Harrai,Bisalpur
Harraia,,Puranpur
Harraipur,Mirpur Harraipur,Bilsanda
Harsinghpur,Parsadpur,Pilibhit
Harunagar Urf Naua Nagla,Harunagar Urf Naua Nagla,Bisalpur
Hasain Nagar,Hasan Nagar,Pilibhit
Hasan Nagar,Bhauna,Pilibhit
Hashampur,Rauhatania,Pilibhit
Hatua,Vikrampur,Pilibhit
Hatua Bijulahi,Hatua Bijulahi,Pilibhit
Hempur,Hempur,Bilsanda
Hetam Dandi,Balliya,Sitarganj
Himkarpur,Andrayan Mustqil,Amaria
Himmat Nager Urf Chiraidipur,Himmat Nager Urf Chiraidipur,Pilibhit
Hirapur Diyuhi Ehat,Arjunpur Must,Pilibhit
Hirapur Diyuhi Must,Arjunpur Must,Pilibhit
Hirapur Khurd,Rotapur,Bisalpur
Husainpur Kalan,Bhaypur,Puranpur
Husainpur Khurd,Bilhari,Puranpur
Igdhara,Igdhara,Pilibhit
Imalia Gangi,Andha,Pilibhit
Imalia Marauri,Andha,Bisalpur
Imam Nagar,Arauli,Pilibhit
Imlaya Talluka Phuta Kuwan,Kuraiya Talluka Phuta Kuwan,Bisalpur
Imlia,Laha,Puranpur
Int Gaon,Int Gaon,Bisalpur
Inta Rora,Inta Rora,Bisalpur
Iradatpur Pagar,Iradatpur Pagar,Bilsanda
Isapur,Kuraiya Kalan,Bilsanda
Itauria J Biharipur,Itauria J Biharipur,Pilibhit
Itauria T Ajitpur Bilha,Shahbajpur,Puranpur
Jadaupur,Chandoi,Pilibhit
Jadaupur,Jadaupur,Puranpur
Jadaupur Khurd,Kesarpur Kalan,Pilibhit
Jadish Pur,Panchpera Purna,Pilibhit
Jadopur Khurd,Allahbad Simra,Pilibhit
Jadopur Nattha,Jadopur Natha,Pilibhit
Jadopur Patti,Jadopur Patti,Pilibhit
Jagannathpur,Muradpur Mati,Puranpur
Jagat Ehatmali,Jagat,Pilibhit
Jagat Mustqil,Jagat,Pilibhit
Jagatpur,Ora Jhar,Bilsanda
Jagatpur,Jagatpur,Pilibhit
Jagatpur T Gajraula,Pandria,Puranpur
